,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2017,Scotland,Aberdeen City,285,4701,4986,103.1087452,312,8.45959596,5.9,99.94036433,17849.89858,95.12309133
2,2017,Scotland,Aberdeen City,85,4144,4229,91.96501571,226.9,5.373525557,6.17,90.0543139,17414.52991,107.7250639
3,2017,Scotland,Aberdeen City,195,6371,6566,87.32905058,181,2.702702703,6.41,99.94766163,18532.24611,55.2479265
4,2017,Scotland,Aberdeen City,610,4679,5289,95.29264473,625,20.05076142,4.93,97.41406774,36507.93651,443.2937435
5,2017,Scotland,Aberdeen City,105,4552,4657,94.43866947,273,3.716216216,5.85,95.81100214,23680.64953,281.1635008
6,2017,Scotland,Aberdeen City,95,3964,4059,95.48807529,211.4,3.312302839,6.11,99.97133193,21533.9233,103.1332339
7,2017,Scotland,Aberdeen City,120,4568,4688,84.11255097,214.4,3.314917127,5.96,100,20549.15855,178.7925742
8,2017,Scotland,Aberdeen City,230,4730,4960,94.92021674,215.1,5.622009569,6,97.64801028,20943.70861,270.2440977
9,2017,Scotland,Aberdeen City,455,3517,3972,103.2537977,552.5,16.71974522,5.26,100,32385.66131,582.9032821
10,2017,Scotland,Aberdeen City,145,4483,4628,104.5555634,663.7,4.52920143,5.98,79.1314164,23706.37786,370.7084562
11,2017,Scotland,Aberdeen City,385,5548,5933,99.82617962,330.2,11.06639839,5.84,91.91176471,26515.15152,488.2128082
12,2017,Scotland,Aberdeen City,55,3577,3632,96.70672368,132.7,3.197674419,6.37,99.90508888,21910.11236,562.7419746
13,2017,Scotland,Aberdeen City,155,6146,6301,93.629669,296.4,5.644171779,6.35,100,22871.45242,290.5018657
14,2017,Scotland,Aberdeen City,310,3881,4191,90.20960247,733.7,16.44736842,5.12,100,30612.2449,3442.908413
15,2017,Scotland,Aberdeen City,250,2487,2737,71.65655164,804.4,25.96153846,4.57,100,30526.31579,4334.077524
16,2017,Scotland,Aberdeen City,190,4843,5033,80.02989295,311,5.927342256,5.55,78.67222222,22950.81967,397.0666374
17,2017,Scotland,Aberdeen City,200,4841,5041,88.80485964,465.1,2.889245586,5.59,84.0889,19093.07876,303.0179813
18,2017,Scotland,Aberdeen City,490,3646,4136,109.7463669,675.8,17.61978362,5.17,85.10972389,33584.90566,518.8432666
19,2017,Scotland,Aberdeen City,335,4057,4392,81.1085181,362.7,15.23702032,5.13,99.89638973,27572.01646,428.0927611
20,2017,Scotland,Aberdeen City,100,3935,4035,96.59480557,349.8,3.448275862,5.69,98.0748636,10991.37931,115.181961
21,2017,Scotland,Aberdeen City,170,3431,3601,110.8531837,437.3,7.37704918,5.43,90.74575302,22653.72168,393.8154202
22,2017,Scotland,Aberdeen City,805,4894,5699,92.7699475,729.6,32.19512195,4.88,94.16012821,32727.27273,866.2768132
23,2017,Scotland,Aberdeen City,1010,3664,4674,95.40095363,698.7,41.49377593,4.68,93.06123596,30528.05281,1139.747259
24,2017,Scotland,Aberdeen City,325,3103,3428,72.67785782,693.5,26.33744856,5.11,90.74722639,33136.09467,818.6519515
25,2017,Scotland,Aberdeen City,240,4058,4298,63.93731162,841.4,11.56716418,5.33,90.74722639,14851.48515,636.4590917
26,2017,Scotland,Aberdeen City,630,6590,7220,85.11379858,935.6,27.70034843,5.22,98.00025742,38818.5654,1022.762631
27,2017,Scotland,Aberdeen City,340,3433,3773,86.34973481,749.4,17.87234043,5.3,100,30205.27859,1643.614455
28,2017,Scotland,Aberdeen City,355,5208,5563,86.07927509,407.3,21.82361734,4.95,100,25641.02564,545.0267487
29,2017,Scotland,Aberdeen City,530,4090,4620,85.07062847,916.6,28.95377129,5.33,99.95077265,34879.40631,904.5716781
30,2017,Scotland,Aberdeen City,415,4497,4912,80.03929532,572.3,23.66255144,4.94,61.35033514,30193.23671,535.6478695
31,2017,Scotland,Aberdeen City,900,4480,5380,75.82686609,700,31.16666667,5.1,96.68552742,34738.6172,823.6902455
32,2017,Scotland,Aberdeen City,770,3302,4072,87.76686409,791.9,37.55102041,5.02,100,30000,1087.761611
33,2017,Scotland,Aberdeen City,445,5789,6234,94.09990202,461.9,15.83541147,5.73,100,28320.3125,393.6063016
34,2017,Scotland,Aberdeen City,685,4752,5437,101.1970625,563.3,22.27488152,5.15,85.33333333,34482.75862,579.2999422
35,2017,Scotland,Aberdeen City,770,4059,4829,109.3414676,494.6,28.22757112,5.02,99.96760036,29704.30108,719.9461424
36,2017,Scotland,Aberdeen City,585,4389,4974,101.1316554,667.9,21.68367347,5.1,82.67699317,30733.08271,340.0001315
37,2017,Scotland,Aberdeen City,540,3088,3628,104.3249665,541.4,24.02877698,4.84,95.01280724,31240.18838,599.8762557
38,2017,Scotland,Aberdeen City,885,4662,5547,101.8019029,582.1,23.5042735,4.88,100,43661.97183,933.6854681
39,2017,Scotland,Aberdeen City,920,4381,5301,94.94128188,660.4,30.43478261,4.91,97.05621302,35493.82716,911.5750192
40,2017,Scotland,Aberdeen City,125,5523,5648,86.4997521,295.8,5.433901054,5.99,99.99389486,12803.2345,124.8208508
41,2017,Scotland,Aberdeen City,250,3316,3566,79.08746114,423.2,11.30298273,5.15,100,28046.98972,608.8059527
42,2017,Scotland,Aberdeen City,335,4570,4905,83.50117928,365.8,12.82973621,5.4,99.99101884,26685.13389,414.050775
43,2017,Scotland,Aberdeen City,300,5106,5406,103.4441278,426.5,11.18012422,5.32,97.45159453,24184.98863,338.8570754
44,2017,Scotland,Aberdeen City,85,3993,4078,88.50290551,323.4,6.864564007,5.9,95.91770893,20436.28014,151.9202724
45,2017,Scotland,Aberdeen City,125,4226,4351,105.7067009,309.7,4.525547445,5.77,100,19080.77994,84.15044843
46,2017,Scotland,Aberdeen City,145,4869,5014,110.9487037,246.4,5.398457584,5.74,93.68665528,17012.85856,79.01899544
47,2017,Scotland,Aberdeen City,235,3385,3620,109.5531751,381.7,12.21804511,5.74,94.31038186,19450.80092,231.8171657
48,2017,Scotland,Aberdeen City,95,2708,2803,101.8758688,272.4,7.826086957,5.85,100,17721.51899,439.5730357
49,2017,Scotland,Aberdeen City,80,2864,2944,83.80781102,314.5,6.814814815,5.96,100,24048.09619,152.0908796
50,2017,Scotland,Aberdeenshire,150,3014,3164,102.6544492,294.1,16.32653061,5.69,100,13073.3945,244.7849618
51,2017,Scotland,Aberdeenshire,225,4864,5089,82.11208492,263.7,9.270216963,5.89,100,18254.67498,139.1056163
52,2017,Scotland,Aberdeenshire,230,4102,4332,74.04452317,369.9,7.05052879,5.64,100,15850.81585,237.305961
53,2017,Scotland,Aberdeenshire,255,3715,3970,94.51263408,294.5,12.69276394,5.64,85.49846827,19781.71896,153.0639612
54,2017,Scotland,Aberdeenshire,300,5403,5703,82.16943489,342.8,10.29976941,5.85,99.96756414,20608.8993,192.6344152
55,2017,Scotland,Aberdeenshire,65,3835,3900,72.20282124,300.5,4.352441614,6.03,99.99759292,12454.87365,171.1508457
56,2017,Scotland,Aberdeenshire,320,5196,5516,95.36504047,380.9,8.90052356,5.96,88.71848143,19887.42964,195.43521
57,2017,Scotland,Aberdeenshire,230,5686,5916,88.666161,300.7,6.877113867,5.96,97.91561606,18874.17219,278.0531822
58,2017,Scotland,Aberdeenshire,65,2977,3042,100.91405,297.4,6.806282723,5.99,92.85560027,13108.61423,53.61343201
59,2017,Scotland,Aberdeenshire,100,4338,4438,109.2091918,283.3,5.810397554,5.76,98.65885589,13685.63686,129.3488369
60,2017,Scotland,Aberdeenshire,205,5240,5445,59.06521182,370.7,7.665260197,5.55,88.99707214,17598.68421,199.5419201
61,2017,Scotland,Aberdeenshire,110,4979,5089,85.33586527,243.4,6.325301205,5.95,93.25408998,14060.74241,106.4852216
62,2017,Scotland,Aberdeenshire,135,4029,4164,71.90222232,216.9,10.81081081,6.06,96.20818656,20424.40318,115.1582085
63,2017,Scotland,Aberdeenshire,90,3056,3146,105.9882699,188.3,1.041666667,6.26,95.78409562,17358.49057,258.1945322
64,2017,Scotland,Aberdeenshire,120,4165,4285,87.85549671,229.5,8.600770218,5.98,99.97293932,18844.9848,82.99473352
65,2017,Scotland,Aberdeenshire,195,4022,4217,94.19092034,263.1,8.584337349,5.68,100,16009.01917,102.4741158
66,2017,Scotland,Aberdeenshire,235,5753,5988,79.990474,292.1,8.139534884,5.79,81.23664505,15445.02618,142.7063467
67,2017,Scotland,Aberdeenshire,265,3361,3626,104.3612164,474.5,18.53035144,5.33,93.9675174,20140.84507,300.6165162
68,2017,Scotland,Aberdeenshire,265,5368,5633,104.3567422,332.1,12.06272618,5.53,96.59272326,25820.37997,135.7709679
69,2017,Scotland,Aberdeenshire,410,5023,5433,97.74036743,388.4,20.17654477,5.38,91.54005908,23510.20408,466.804292
70,2017,Scotland,Aberdeenshire,90,5459,5549,45.03205581,198.3,4.010876954,5.75,97.28835161,10664.81994,68.00869632
71,2017,Scotland,Aberdeenshire,170,5729,5899,52.83688842,228,6.52335063,5.83,87.87268817,16079.29515,233.5041628
72,2017,Scotland,Aberdeenshire,95,3348,3443,50.90075993,396.3,5.088757396,5.78,88.25085565,13149.84709,95.7801908
73,2017,Scotland,Aberdeenshire,90,4521,4611,76.14681037,214.9,2.436738519,5.89,97.44029391,18541.03343,68.83768337
74,2017,Scotland,Aberdeenshire,100,3955,4055,119.2308598,272.5,10.12216405,5.68,98.40838509,16685.4566,127.641493
75,2017,Scotland,Aberdeenshire,95,3942,4037,56.48031514,243.4,5.621621622,5.88,78.45857095,16535.43307,119.9664859
76,2017,Scotland,Aberdeenshire,85,4291,4376,80.38927155,255.5,4.710920771,5.46,88.79876797,20748.29932,160.1972171
77,2017,Scotland,Aberdeenshire,200,5162,5362,75.53061445,273.8,8.269961977,5.64,99.65069366,16253.10174,128.4880494
