,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2016,Scotland,Aberdeen City,285,4701,4888,98.9,318,8.2,5.8,94.87,19203,367.3
2,2016,Scotland,Aberdeen City,85,4144,4275,93.7,238,3.4,6.21,98.48,22007,240.3
3,2016,Scotland,Aberdeen City,195,6371,6828,90.8,198,2.1,6.41,97.73,19186,409.4
4,2016,Scotland,Aberdeen City,610,4679,5459,94.6,698,13.3,5,84.88,38916,1461.6
5,2016,Scotland,Aberdeen City,105,4552,4599,95.7,324,3.3,5.84,98.65,21323,992.0
6,2016,Scotland,Aberdeen City,95,3964,4032,94.3,225,1.6,6.13,95.33,21275,465.6
7,2016,Scotland,Aberdeen City,120,4568,4842,93.7,164,2.9,5.94,96.00,21612,366.9
8,2016,Scotland,Aberdeen City,230,4730,5142,97.7,193,4.9,5.93,94.74,20730,1201.9
9,2016,Scotland,Aberdeen City,455,3517,3937,99.5,599,16.6,5.25,85.12,32638,1469.3
10,2016,Scotland,Aberdeen City,145,4483,4556,99.2,621,2.4,6.17,95.30,25743,1658.7
11,2016,Scotland,Aberdeen City,385,5548,5909,97.6,293,9.6,5.55,90.65,25341,749.5
12,2016,Scotland,Aberdeen City,55,3577,3692,96.8,138,2.0,6.4,98.68,15701,2723.6
13,2016,Scotland,Aberdeen City,155,6146,6380,94.6,307,5.0,6.28,97.92,25699,477.3
14,2016,Scotland,Aberdeen City,310,3881,4014,97.2,789,17.1,5.05,84.21,25893,7075.5
15,2016,Scotland,Aberdeen City,250,2487,2736,86.5,1034,27.2,5.32,65.38,32000,9871.5
16,2016,Scotland,Aberdeen City,190,4843,5018,94.5,251,7.1,5.45,83.87,20519,870.4
17,2016,Scotland,Aberdeen City,200,4841,5022,93.1,488,4.2,5.82,89.62,23204,778.3
18,2016,Scotland,Aberdeen City,490,3646,4049,102.1,722,19.0,5.14,84.14,29707,1146.7
19,2016,Scotland,Aberdeen City,335,4057,4791,84.0,384,11.5,5.25,94.44,22734,1542.3
20,2016,Scotland,Aberdeen City,100,3935,3950,102.4,356,5.6,5.7,93.08,15284,241.9
21,2016,Scotland,Aberdeen City,170,3431,3587,104.9,510,9.0,5.35,89.66,25676,1518.4
22,2016,Scotland,Aberdeen City,805,4894,5692,97.9,758,27.3,5.07,85.00,29755,2206.3
23,2016,Scotland,Aberdeen City,1010,3664,4668,98.3,687,35.4,4.82,81.89,34545,2104.4
24,2016,Scotland,Aberdeen City,325,3103,3406,91.3,660,22.6,5.08,78.95,29730,2916.7
25,2016,Scotland,Aberdeen City,240,4058,4273,87.6,702,17.8,4.81,61.54,13990,1381.0
26,2016,Scotland,Aberdeen City,630,6590,7246,93.3,1043,21.4,5.18,79.76,31223,2372.2
27,2016,Scotland,Aberdeen City,340,3433,3712,95.9,797,16.5,5.26,86.67,35494,4229.5
28,2016,Scotland,Aberdeen City,355,5208,5736,91.5,335,20.7,4.73,81.72,28198,1106.2
29,2016,Scotland,Aberdeen City,530,4090,4653,96.8,960,24.0,5.15,66.67,32156,1638.1
30,2016,Scotland,Aberdeen City,415,4497,4754,94.2,576,22.0,4.92,88.89,27674,1245.1
31,2016,Scotland,Aberdeen City,900,4480,5572,84.4,727,28.5,5.08,80.70,36174,2117.2
32,2016,Scotland,Aberdeen City,770,3302,4112,96.5,781,31.8,4.86,83.21,23160,3353.7
33,2016,Scotland,Aberdeen City,445,5789,6130,93.9,498,11.7,5.67,85.37,29709,975.3
34,2016,Scotland,Aberdeen City,685,4752,5569,96.8,521,19.3,5.07,87.35,34101,1756.8
35,2016,Scotland,Aberdeen City,770,4059,4819,102.0,524,21.3,5.06,79.70,30697,2088.6
36,2016,Scotland,Aberdeen City,585,4389,4931,98.1,717,16.3,5.11,85.23,26204,1084.8
37,2016,Scotland,Aberdeen City,540,3088,3539,99.5,553,23.0,4.89,84.32,37043,1524.7
38,2016,Scotland,Aberdeen City,885,4662,5415,100.9,626,19.4,4.89,83.00,32235,1744.0
39,2016,Scotland,Aberdeen City,920,4381,4994,103.7,717,26.0,4.75,82.81,34370,1700.1
40,2016,Scotland,Aberdeen City,125,5523,5559,94.5,256,1.8,5.99,95.83,14897,1168.5
41,2016,Scotland,Aberdeen City,250,3316,3763,85.4,459,9.4,5.15,92.22,25882,1235.2
42,2016,Scotland,Aberdeen City,335,4570,5158,87.8,368,10.5,5.24,89.10,21795,3276.1
43,2016,Scotland,Aberdeen City,300,5106,5277,102.5,391,8.0,5.3,87.00,25612,1306.9
44,2016,Scotland,Aberdeen City,85,3993,4067,100.0,345,7.2,5.73,97.22,21921,579.8
45,2016,Scotland,Aberdeen City,125,4226,4460,98.9,332,5.0,5.76,98.29,17794,295.3
46,2016,Scotland,Aberdeen City,145,4869,4952,100.7,300,7.3,5.69,93.12,18542,434.5
47,2016,Scotland,Aberdeen City,235,3385,3661,100.4,446,9.6,5.64,89.38,19555,419.1
48,2016,Scotland,Aberdeen City,95,2708,2701,99.9,343,6.7,5.84,93.83,16508,1329.5
49,2016,Scotland,Aberdeen City,80,2864,3315,88.8,349,9.7,5.78,95.41,21967,679.8
50,2016,Scotland,Aberdeenshire,150,3014,3040,102.0,309,13.5,5.49,95.76,15302,647.7
51,2016,Scotland,Aberdeenshire,225,4864,5302,90.1,268,8.1,5.8,96.83,14744,519.7
52,2016,Scotland,Aberdeenshire,230,4102,4317,95.5,342,7.3,5.54,94.74,16287,2036.4
53,2016,Scotland,Aberdeenshire,255,3715,4021,98.2,260,12.5,5.62,92.05,14815,1025.2
54,2016,Scotland,Aberdeenshire,300,5403,5767,91.4,370,10.5,5.74,94.19,20313,474.0
55,2016,Scotland,Aberdeenshire,65,3835,4271,78.0,311,4.2,6.03,99.35,15152,1319.2
56,2016,Scotland,Aberdeenshire,320,5196,5362,102.5,389,9.0,5.86,90.20,20189,731.2
57,2016,Scotland,Aberdeenshire,230,5686,5805,102.2,344,5.4,5.89,94.67,18361,592.3
58,2016,Scotland,Aberdeenshire,65,2977,3015,100.0,250,4.3,5.78,96.62,15163,193.0
59,2016,Scotland,Aberdeenshire,100,4338,4386,104.2,353,4.6,5.85,96.52,16269,430.7
60,2016,Scotland,Aberdeenshire,205,5240,5877,70.9,335,6.8,5.57,94.77,18259,547.9
61,2016,Scotland,Aberdeenshire,110,4979,5108,95.6,246,3.5,5.95,94.35,14866,474.1
62,2016,Scotland,Aberdeenshire,135,4029,4104,97.2,191,7.4,6.02,96.67,21888,380.7
63,2016,Scotland,Aberdeenshire,90,3056,3081,100.7,185,2.7,6.25,99.26,17685,790.3
64,2016,Scotland,Aberdeenshire,120,4165,4240,95.7,250,6.4,5.97,97.77,19606,578.1
65,2016,Scotland,Aberdeenshire,195,4022,4108,100.7,267,8.2,5.67,97.44,16073,255.3
66,2016,Scotland,Aberdeenshire,235,5753,6134,91.3,278,8.1,5.84,98.24,13836,324.9
67,2016,Scotland,Aberdeenshire,265,3361,3573,100.4,427,14.3,5.47,92.06,18003,700.5
68,2016,Scotland,Aberdeenshire,265,5368,5472,100.2,352,11.3,5.48,94.52,23138,668.0
69,2016,Scotland,Aberdeenshire,410,5023,5436,97.6,413,13.2,5.34,92.39,20826,1857.1
70,2016,Scotland,Aberdeenshire,90,5459,6003,76.4,211,2.9,5.72,93.27,13185,484.4
71,2016,Scotland,Aberdeenshire,170,5729,5917,94.5,264,5.3,5.77,92.59,18851,618.4
72,2016,Scotland,Aberdeenshire,95,3348,3410,93.0,313,7.8,5.72,97.67,21429,781.5
73,2016,Scotland,Aberdeenshire,90,4521,4969,79.9,238,2.6,5.89,96.67,19000,367.0
74,2016,Scotland,Aberdeenshire,100,3955,3948,106.6,272,5.1,5.77,98.15,16975,404.6
75,2016,Scotland,Aberdeenshire,95,3942,3957,93.1,279,6.5,5.76,93.71,16497,455.8
76,2016,Scotland,Aberdeenshire,85,4291,4254,97.0,251,5.2,5.58,89.00,15054,472.6
77,2016,Scotland,Aberdeenshire,200,5162,5291,98.8,301,6.4,5.7,88.30,14756,442.2
78,2016,Scotland,Aberdeenshire,210,5661,6036,96.1,319,4.4,5.65,90.98,15958,777.1
