,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2011,Scotland,Aberdeen City,309.7,4541.2,4827,101.7,347,6.3,5.672821678,96.39,24794,202.036651
2,2011,Scotland,Aberdeen City,73.1,4254.6,4004,100.4,272,1.1,6.194008638,100,21476,158.6338512
3,2011,Scotland,Aberdeen City,222.8,7758.5,6142,96.6,230,1.6,6.446018702,97.02,22358,117.9164536
4,2011,Scotland,Aberdeen City,659.9,4326.3,5173,100.9,623,15.4,5.062325657,84.85,29663,771.5363945
5,2011,Scotland,Aberdeen City,145,3862.1,4413,96.1,314,3.6,5.994326737,97.76,21563,334.5330597
6,2011,Scotland,Aberdeen City,86.7,3651,3819,100.1,294,1.7,6.098002183,94.01,23784,148.1372289
7,2011,Scotland,Aberdeen City,115,4356,4598,90.3,203,0.9,6.176720076,94.35,21263,198.1678436
8,2011,Scotland,Aberdeen City,247.9,4709.6,4954,100.1,325,3.8,5.892180598,93.35,19935,357.560239
9,2011,Scotland,Aberdeen City,480,3325,3897,102.7,460,16.2,4.831336106,80.85,31704,692.8999364
10,2011,Scotland,Aberdeen City,175,4263,4578,105,584,2.9,6.24507055,97.63,25778,549.0695943
11,2011,Scotland,Aberdeen City,410,5756,5822,99.1,592,12.1,5.792036585,87.99,29065,811.8876976
12,2011,Scotland,Aberdeen City,45.8,3850.7,3507,99.7,288,0.8,6.02377831,98.51,23679,725.8748332
13,2011,Scotland,Aberdeen City,203.8,5918.1,6085,96.8,400,4.6,6.35,99.29,21129,429.5842057
14,2011,Scotland,Aberdeen City,315,3703,4014,89.5,807,16,5.935370778,85.01,26688,5181.479644
15,2011,Scotland,Aberdeen City,440,3874,2540,77,807,19.7,5.275554321,62.48,29851,5456.565681
16,2011,Scotland,Aberdeen City,220,5729.9,4919,82.5,508,8.2,5.514021647,76.53,26415,487.5150253
17,2011,Scotland,Aberdeen City,260,4175,4746,92.9,311,4.1,6.049394149,88.52,21790,368.0316161
18,2011,Scotland,Aberdeen City,522,3373.1,4076,106.5,559,16.6,4.871629367,81.11,27494,731.7267834
19,2011,Scotland,Aberdeen City,432.9,4084.3,4029,98.8,513,9.7,4.950588604,100,23026,445.7161416
20,2011,Scotland,Aberdeen City,135,4553,4068,94.3,358,4.9,5.642037551,93.15,27219,227.8746447
21,2011,Scotland,Aberdeen City,199.8,3459.3,3701,105.9,552,7.2,5.370061512,89.15,23636,523.2636326
22,2011,Scotland,Aberdeen City,864.6,4228.9,5690,90.6,786,26.6,4.868002733,87.76,29630,1725.96082
23,2011,Scotland,Aberdeen City,1065,3405,4639,93.6,729,28.6,4.536412596,81.66,31459,1478.456794
24,2011,Scotland,Aberdeen City,430,3631,3281,74.3,821,19.3,5.302663429,77.84,35277,1043.083221
25,2011,Scotland,Aberdeen City,240,3487,4041,67.3,821,13.7,5.031579935,59.52,14458,1141.529533
26,2011,Scotland,Aberdeen City,962.2,8575.1,7045,86.5,922,18.9,5.232002553,74.44,32099,1420.157144
27,2011,Scotland,Aberdeen City,445,3945,3737,87.8,750,11.1,5.228090793,85.12,24096,1075.487519
