,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2006,Scotland,Aberdeen City,309.4439234,4527.101802,4836.545726,103.7349457,320.574493,6.934720481,5.49013759,87.06115463,17864.14898,331.7959418
2,2006,Scotland,Aberdeen City,72.49794041,3836.962253,3909.460193,95.21142676,226.8220165,1.416290489,6.214086462,99.71094311,17119.52389,275.3497766
3,2006,Scotland,Aberdeen City,238.3929936,6776.942606,7015.3356,93.98032611,209.6882844,1.739141632,6.476187276,100,20025.0093,355.502332
4,2006,Scotland,Aberdeen City,804.8932574,4119.756943,4924.650201,98.14773979,544.4797535,26.30196424,5.175278156,58.86637661,26231.79562,983.037303
5,2006,Scotland,Aberdeen City,129.4244977,3902.932728,4032.357225,101.393893,307.5429926,5.324596891,6.117287285,92.29313078,25303.94423,447.1509966
6,2006,Scotland,Aberdeen City,100.9513733,3624.490184,3725.441557,98.40167274,259.3996763,0.848315913,6.088021819,94.59539284,21498.69534,251.2175063
7,2006,Scotland,Aberdeen City,104,3797,3901,97.0569978,218.0002096,1.141170603,6.363265313,94.44516426,17283.86794,260.1704893
8,2006,Scotland,Aberdeen City,245.9792371,4511.13515,4757.114387,99.45133075,322.3214979,6.622995844,5.803797889,84.56717362,16650.59507,500.5899492
9,2006,Scotland,Aberdeen City,577,3185,3762,103.4483234,412.4198338,25.68222568,4.500674319,73.79287716,23692.88309,914.4590334
10,2006,Scotland,Aberdeen City,187,4304,4491,103.1320167,481.3193326,1.966327032,6.47482231,97.16926615,23400.83574,1407.601531
11,2006,Scotland,Aberdeen City,444,5156,5600,104.7794372,570.2160991,11.86017344,5.752365101,81.67700057,23966.54262,735.8382434
12,2006,Scotland,Aberdeen City,79.63658106,3304.049727,3383.686309,99.33096459,314.7369039,2.459762595,5.749540365,95.2812173,18597.2272,1005.47112
13,2006,Scotland,Aberdeen City,240.1576763,5489.143154,5729.30083,99.67324491,409.6878585,3.231164497,6.35,90.74742305,22932.36882,482.835083
14,2006,Scotland,Aberdeen City,422,2937,3359,103.5578102,647.781851,29.75135755,6.712069689,69.3877551,24607.89997,6225.592684
15,2006,Scotland,Aberdeen City,592,2864,3456,98.81091539,631.0067078,29.75135755,5.945099508,69.3877551,19490.8227,6612.160085
16,2006,Scotland,Aberdeen City,289.8554604,4565.206638,4855.062099,99.79056321,549.281763,8.935358501,5.484216125,90.23977808,27972.88067,655.3013753
