,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2017,Scotland,Aberdeen City,285,4701,4809,103.1,287,9.1,5.9,96.26,17850,122.6120459
2,2017,Scotland,Aberdeen City,85,4144,4408,91.9,223,3.4,6.17,95.56,17415,102.6696192
3,2017,Scotland,Aberdeen City,195,6371,6865,87.3,199,2.1,6.41,97.48,18532,63.98164409
4,2017,Scotland,Aberdeen City,610,4679,5497,95.3,648,19.5,4.93,86.67,36508,429.7646406
5,2017,Scotland,Aberdeen City,105,4552,4515,94.4,289,3.5,5.85,92.06,23681,306.5464244
6,2017,Scotland,Aberdeen City,95,3964,4046,95.5,238,2.1,6.11,97.78,21534,91.72883808
7,2017,Scotland,Aberdeen City,120,4568,4950,84.1,191,3.6,5.96,100,20549,154.7129676
8,2017,Scotland,Aberdeen City,230,4730,5184,94.8,203,5.4,6,97.67,20944,293.404734
9,2017,Scotland,Aberdeen City,455,3517,3895,103.3,586,16.7,5.26,90.32,32386,587.8347245
10,2017,Scotland,Aberdeen City,145,4483,4592,104.6,619,4.5,5.98,95.71,23706,423.1134405
11,2017,Scotland,Aberdeen City,385,5548,5733,99.9,312,12.7,5.84,94.64,26515,466.7824541
12,2017,Scotland,Aberdeen City,55,3577,3675,96.7,150,2.3,6.37,97.18,21910,535.7559131
13,2017,Scotland,Aberdeen City,155,6146,6351,93.6,301,5.9,6.35,97.95,22871,292.9322535
14,2017,Scotland,Aberdeen City,310,3881,4007,90.2,693,17.4,5.12,89.74,30612,3420.528425
15,2017,Scotland,Aberdeen City,250,2487,2678,71.7,741,24,4.57,67.5,26606,4212.790889
16,2017,Scotland,Aberdeen City,190,4843,5127,80.1,253,6.7,5.55,78.85,22951,383.7791243
17,2017,Scotland,Aberdeen City,200,4841,5001,88.8,490,3.2,5.59,95.18,19093,288.0136539
18,2017,Scotland,Aberdeen City,490,3646,3950,109.8,668,19,5.17,87.93,33585,502.0608666
19,2017,Scotland,Aberdeen City,335,4057,4902,81.1,347,14.8,5.13,91.37,27572,410.7320956
20,2017,Scotland,Aberdeen City,100,3935,3954,96.6,346,4,5.69,92.91,10991,123.7114717
21,2017,Scotland,Aberdeen City,170,3431,3541,110.9,459,6.8,5.43,92.45,22654,466.5601468
22,2017,Scotland,Aberdeen City,805,4894,5472,92.8,776,29.3,4.88,83.78,32727,903.3174945
23,2017,Scotland,Aberdeen City,1010,3664,4582,95.5,725,38.9,4.68,84.21,30528,1252.208311
24,2017,Scotland,Aberdeen City,325,3103,3297,72.7,657,26.3,5.11,82.93,33136,864.2179673
25,2017,Scotland,Aberdeen City,240,4058,4180,64,658,16,5.33,66.67,14851,645.9892614
26,2017,Scotland,Aberdeen City,630,6590,7101,85.1,990,26.8,5.22,77.65,38819,1064.902901
27,2017,Scotland,Aberdeen City,340,3433,3736,86.4,747,16,5.3,89.83,30205,1807.185304
28,2017,Scotland,Aberdeen City,355,5208,5716,86.1,390,24.4,4.95,85.06,25641,533.5239044
29,2017,Scotland,Aberdeen City,530,4090,4475,85,887,29,5.33,80,34879,887.738215
30,2017,Scotland,Aberdeen City,415,4497,4605,80.1,598,24.1,4.94,81.48,30193,521.7850102
31,2017,Scotland,Aberdeen City,900,4480,5568,75.9,730,31,5.1,81.15,34739,787.743993
32,2017,Scotland,Aberdeen City,770,3302,4017,87.8,786,37.1,5.02,73.53,30000,992.7443313
33,2017,Scotland,Aberdeen City,445,5789,6094,94.1,461,17.1,5.73,89.72,28320,375.4622047
34,2017,Scotland,Aberdeen City,685,4752,5465,101.2,599,24.9,5.15,88.65,34483,617.6399516
35,2017,Scotland,Aberdeen City,770,4059,4717,109.4,492,24.5,5.02,86.78,29704,743.8670666
36,2017,Scotland,Aberdeen City,585,4389,4914,101.1,679,20.3,5.1,85.56,30733,363.9864469
37,2017,Scotland,Aberdeen City,540,3088,3505,104.3,585,26,4.84,83.78,31240,693.6411945
38,2017,Scotland,Aberdeen City,885,4662,5392,101.8,602,23.6,4.88,82.2,43662,847.9592251
39,2017,Scotland,Aberdeen City,920,4381,4899,94.9,702,31.9,4.91,84.71,35494,809.1806046
40,2017,Scotland,Aberdeen City,125,5523,5649,86.4,255,4.1,5.99,95.38,12803,129.4624735
41,2017,Scotland,Aberdeen City,250,3316,4020,79,451,13.2,5.15,88.64,28047,535.6657789
42,2017,Scotland,Aberdeen City,335,4570,5267,83.5,385,11.2,5.4,90.59,26685,407.6844024
43,2017,Scotland,Aberdeen City,300,5106,5261,103.5,391,9.9,5.32,94.12,24185,338.0531172
44,2017,Scotland,Aberdeen City,85,3993,4062,88.5,359,6.9,5.9,95.93,20436,161.288442
45,2017,Scotland,Aberdeen City,125,4226,4392,105.7,308,4.4,5.77,91.45,19081,93.53488758
46,2017,Scotland,Aberdeen City,145,4869,4900,111,265,5.7,5.74,96.95,17013,81.97661178
47,2017,Scotland,Aberdeen City,235,3385,3632,109.5,385,15.8,5.74,88.57,19451,211.3654916
48,2017,Scotland,Aberdeen City,95,2708,2662,101.9,293,9,5.85,88.71,17722,378.3921749
49,2017,Scotland,Aberdeen City,80,2864,3540,83.8,342,6.7,5.96,93.44,24048,130.2976254
50,2017,Scotland,Aberdeenshire,150,3014,3070,102.6,297,13,5.69,99.02,13073,205.2913577
51,2017,Scotland,Aberdeenshire,225,4864,5325,82.1,242,8.5,5.89,96.55,18255,138.5163515
52,2017,Scotland,Aberdeenshire,230,4102,4321,74,386,5.5,5.64,92.45,15851,197.6103418
53,2017,Scotland,Aberdeenshire,255,3715,4079,94.5,262,13.2,5.64,93.14,19782,131.0275145
54,2017,Scotland,Aberdeenshire,300,5403,5783,82.2,376,9.3,5.85,95.09,20609,170.4792672
55,2017,Scotland,Aberdeenshire,65,3835,4394,72.2,320,5.1,6.03,98,12455,172.1633964
56,2017,Scotland,Aberdeenshire,320,5196,5328,95.4,389,9.4,5.96,91.74,19887,205.8701581
57,2017,Scotland,Aberdeenshire,230,5686,5669,88.7,307,6.2,5.96,97.28,18627,258.5671121
58,2017,Scotland,Aberdeenshire,65,2977,2970,100.9,268,6.1,5.99,96.99,13109,74.36409025
59,2017,Scotland,Aberdeenshire,100,4338,4294,109.2,298,6.7,5.76,96.1,13686,125.4974156
60,2017,Scotland,Aberdeenshire,205,5240,5879,59.1,347,6.8,5.55,95.36,17599,182.4306729
61,2017,Scotland,Aberdeenshire,110,4979,5108,85.3,249,5.2,5.95,93.79,14061,118.864836
62,2017,Scotland,Aberdeenshire,135,4029,4105,71.9,188,9.8,6.06,94.12,20424,109.86409
63,2017,Scotland,Aberdeenshire,90,3056,3009,106,196,1.5,6.26,97.84,17358,269.7848085
64,2017,Scotland,Aberdeenshire,120,4165,4283,87.8,228,6,5.98,95.94,18845,96.78201038
65,2017,Scotland,Aberdeenshire,195,4022,4078,94.2,267,7.5,5.68,94.89,16009,89.43618728
66,2017,Scotland,Aberdeenshire,235,5753,6203,80,278,7.7,5.79,95.19,15445,124.5913974
67,2017,Scotland,Aberdeenshire,265,3361,3554,104.4,470,17.3,5.33,95.14,20282,286.5835726
68,2017,Scotland,Aberdeenshire,265,5368,5470,104.4,341,11.9,5.53,94.53,25820,162.8916109
69,2017,Scotland,Aberdeenshire,410,5023,5338,97.8,360,19.2,5.38,91.96,23510,530.3204839
70,2017,Scotland,Aberdeenshire,90,5459,6365,45,194,4.3,5.75,93.93,10665,77.64341973
71,2017,Scotland,Aberdeenshire,170,5729,5949,52.8,222,5.7,5.83,95.55,16079,208.0986242
72,2017,Scotland,Aberdeenshire,95,3348,3417,50.9,350,5.4,5.78,94.74,13150,113.7561179
73,2017,Scotland,Aberdeenshire,90,4521,5043,76.1,244,2.6,5.89,98.19,18541,66.89230822
74,2017,Scotland,Aberdeenshire,100,3955,3888,119.2,246,7,5.68,95.95,16685,98.24745556
75,2017,Scotland,Aberdeenshire,95,3942,3969,56.5,246,5.7,5.88,98.39,15633,117.0709726
76,2017,Scotland,Aberdeenshire,85,4291,4230,80.4,256,5.1,5.46,92.78,20748,159.2987114
77,2017,Scotland,Aberdeenshire,200,5162,5266,75.5,258,6.9,5.64,87.76,16253,123.1951606
78,2017,Scotland,Aberdeenshire,210,5661,6093,68.5,341,7,5.82,93.86,18105,204.0854038
79,2017,Scotland,Aberdeenshire,225,4101,4093,114.3,341,10,5.62,95.09,15512,203.9796543
80,2017,Scotland,Aberdeenshire,165,4322,4546,94.4,307,7.7,5.83,94.44,13885,166.3845264
81,2017,Scotland,Aberdeenshire,195,5728,6026,86.9,275,7.9,5.69,93.85,19670,91.60878696
82,2017,Scotland,Aberdeenshire,175,4940,5062,69.6,271,6.8,5.78,94.83,18883,165.2298782
83,2017,Scotland,Aberdeenshire,180,3798,3928,86.4,388,5.4,5.57,93.82,17398,56.75145357
84,2017,Scotland,Aberdeenshire,195,4879,5041,71,284,9.1,5.66,94.03,17629,130.5231263
