,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2013,Scotland,Aberdeen City,285,4701,4931,100.1,337,6.1,5.71,95.63,24412,167.8005179
2,2013,Scotland,Aberdeen City,85,4144,4128,98.1,270,1.1,6.19,99.66,19603,147.1694238
3,2013,Scotland,Aberdeen City,195,6371,6472,92.8,198,1.5,6.44,97.37,18766,79.93323878
4,2013,Scotland,Aberdeen City,610,4679,5234,99.7,525,13.6,5.04,84.87,32641,635.0744482
5,2013,Scotland,Aberdeen City,105,4552,4625,92.6,219,3.1,5.97,98.2,19693,291.737665
6,2013,Scotland,Aberdeen City,95,3964,3991,96.7,283,1.8,6.1,94.67,22578,121.6299018
7,2013,Scotland,Aberdeen City,120,4568,4668,88.8,228,0.9,6.14,95.17,22242,169.0729206
8,2013,Scotland,Aberdeen City,230,4730,4923,100.7,325,3.3,5.91,94.04,20614,299.5147516
9,2013,Scotland,Aberdeen City,455,3517,3979,101.5,431,14.1,4.9,82.96,28979,600.9485038
10,2013,Scotland,Aberdeen City,145,4483,4509,104.9,659,3.1,6.2,96.46,23568,373.7004197
11,2013,Scotland,Aberdeen City,385,5548,5913,97.8,466,10.8,5.8,89.31,28715,746.3218124
12,2013,Scotland,Aberdeen City,55,3577,3613,98.1,272,0.8,6.08,98.6,20437,642.1255454
13,2013,Scotland,Aberdeen City,155,6146,6326,94.2,343,4.6,6.35,98.6,26863,403.1827271
14,2013,Scotland,Aberdeen City,310,3881,4181,86.7,753,13.9,5.79,84.61,26888,4751.664306
15,2013,Scotland,Aberdeen City,250,2487,2718,71.3,753,17.1,5.15,63.91,36905,4984.166349
16,2013,Scotland,Aberdeen City,190,4843,4918,81.4,474,7.1,5.52,80.12,20499,459.2206927
17,2013,Scotland,Aberdeen City,200,4841,4928,89.6,328,3.5,5.97,89.07,23649,324.3718844
18,2013,Scotland,Aberdeen City,490,3646,4096,106.3,530,16,4.92,82.61,25400,560.7131185
19,2013,Scotland,Aberdeen City,335,4057,4130,94.6,465,9.2,4.98,98.25,26024,348.7592626
20,2013,Scotland,Aberdeen City,100,3935,4062,94.5,349,4.3,5.65,93.11,15051,181.1349573
21,2013,Scotland,Aberdeen City,170,3431,3621,108.6,534,7.3,5.38,89.4,26716,502.6798995
22,2013,Scotland,Aberdeen City,805,4894,5744,89.2,800,23.9,4.87,86.37,31280,1431.544788
