,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2012,Scotland,Aberdeen City,309.7,4541.2,4902,98.8,377.9319092,6.2,5.697580212,96.01,20571,440.8
2,2012,Scotland,Aberdeen City,73.1,4254.6,4115,98.9,281.2918642,1.1,6.234669258,100,22099,260.6
3,2012,Scotland,Aberdeen City,222.8,7758.5,6257,98.0,202.4961224,1.6,6.432005609,97.2,18933,377.6
4,2012,Scotland,Aberdeen City,659.9,4326.3,5235,98.7,509.155938,14.5,5.044097596,84.86,35877,1790.5
5,2012,Scotland,Aberdeen City,145,3862.1,4535,96.9,222.3800181,3.3,5.971431261,97.98,18993,902.3
6,2012,Scotland,Aberdeen City,86.7,3651,3880,97.9,331.4084573,1.7,6.099333988,94.34,23261,369.9
7,2012,Scotland,Aberdeen City,115,4356,4609,98.6,190.8,0.9,6.132215722,94.76,23519,506.9
8,2012,Scotland,Aberdeen City,247.9,4709.6,4906,101.6,341.9104327,3.6,5.884054217,93.7,19854,968.1
9,2012,Scotland,Aberdeen City,480,3325,3930,99.3,450.8,15.1,4.903670781,81.9,31479,1392.4
10,2012,Scotland,Aberdeen City,175,4263,4519,100.3,632.7,3,6.231653955,97.04,27249,1354.3
11,2012,Scotland,Aberdeen City,410,5756,5822,98.2,489,11.4,5.797344312,88.65,27510,980.9
12,2012,Scotland,Aberdeen City,45.8,3850.7,3594,99.7,337.0507675,0.8,6.121201313,98.55,19302,3000.0
13,2012,Scotland,Aberdeen City,203.8,5918.1,6266,96.7,349.4,4.6,6.32,98.95,24006,553.4
14,2012,Scotland,Aberdeen City,315,3703,4079,96.3,767.9,14.9,5.821391369,84.81,33438,8393.7
15,2012,Scotland,Aberdeen City,440,3874,2613,90.1,767.9,18.4,5.404850086,63.19,39241,12777.8
16,2012,Scotland,Aberdeen City,220,5729.9,5006,96.9,476.7,7.7,5.461339829,78.3,23120,1143.0
17,2012,Scotland,Aberdeen City,260,4175,4873,96.6,309.1,3.8,5.989681762,88.79,22603,882.4
18,2012,Scotland,Aberdeen City,522,3373.1,4100,100.4,511.2,16.3,4.907156601,81.86,29025,1607.3
19,2012,Scotland,Aberdeen City,432.9,4084.3,4037,98.0,472.5706759,9.5,5.010176825,100,23636,1375.6
20,2012,Scotland,Aberdeen City,135,4553,4046,100.0,337.6477021,4.6,5.660677936,93.13,21081,244.6
21,2012,Scotland,Aberdeen City,199.8,3459.3,3660,102.4,569.2006245,7.2,5.370018462,89.27,23164,1445.2
22,2012,Scotland,Aberdeen City,864.6,4228.9,5732,96.6,811.6,25.3,4.88600082,87.06,27273,2241.0
23,2012,Scotland,Aberdeen City,1065,3405,4721,97.9,689.3,26.7,4.598790595,81.72,33562,1581.3
24,2012,Scotland,Aberdeen City,430,3631,3374,91.9,849.3,18.9,5.254198741,78.11,27933,2576.6
25,2012,Scotland,Aberdeen City,240,3487,4139,90.7,849.3,12.8,4.850475037,59.52,18675,947.7
26,2012,Scotland,Aberdeen City,962.2,8575.1,7195,93.8,820.1805291,17.6,5.280667433,75.74,33088,3001.8
27,2012,Scotland,Aberdeen City,445,3945,3748,95.3,736.7,10.4,5.296027252,85.5,28249,1856.1
28,2012,Scotland,Aberdeen City,735,9118,5417,96.8,460.9,23.5,4.846747914,79.94,28076,1165.0
29,2012,Scotland,Aberdeen City,647.6,3718.7,4658,96.6,662.3002128,18.3,4.659453844,59.52,34566,1804.0
30,2012,Scotland,Aberdeen City,545.9,4560,4755,93.0,740.4536148,21.9,4.650327449,93.22,27119,994.8
31,2012,Scotland,Aberdeen City,864.5,3983.1,4995,94.3,714.6856256,24,4.745535967,77.6,27290,2451.4
32,2012,Scotland,Aberdeen City,855,3050.9,4060,97.1,961.4,23.9,4.84159401,82.42,30723,3079.8
33,2012,Scotland,Aberdeen City,540,5882,6114,95.3,415.1,9,5.427928528,84.58,22909,1074.7
34,2012,Scotland,Aberdeen City,722.2,4503.3,5365,99.2,542.7,17.3,5.165382838,87.9,33997,1620.0
35,2012,Scotland,Aberdeen City,814.4,3933.4,4811,101.4,606.3458853,16.7,4.753445376,78.71,29696,2000.0
36,2012,Scotland,Aberdeen City,675,3814.9,4956,97.5,524.1,11,4.924285998,83.95,31907,1348.4
37,2012,Scotland,Aberdeen City,615,2728,3511,99.7,617.9,20.4,4.404461751,84.6,35927,1592.0
38,2012,Scotland,Aberdeen City,960.4,4254.4,5521,99.4,491.7,16.6,4.40385929,82.8,25115,2131.0
39,2012,Scotland,Aberdeen City,1150,3581,5383,97.2,584.1,23.4,4.35140003,83.76,34441,2362.4
