,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2015,Scotland,Aberdeen City,285,4701,4939,100.1,291,8.2,5.74,94.87,21143,117.7491736
2,2015,Scotland,Aberdeen City,85,4144,4254,95.9,229,1.9,6.24,98.48,20281,119.7818832
3,2015,Scotland,Aberdeen City,195,6371,6686,89.1,182,2.5,6.42,97.73,19373,62.90236939
4,2015,Scotland,Aberdeen City,610,4679,5374,97.5,671,12,5.1,84.88,33171,503.0750329
5,2015,Scotland,Aberdeen City,105,4552,4629,92.1,286,3.5,5.91,98.65,22452,281.2098198
6,2015,Scotland,Aberdeen City,95,3964,4058,94.9,285,2.5,6.14,95.33,23410,108.053903
7,2015,Scotland,Aberdeen City,120,4568,4806,86.5,138,1,6.09,96,19200,176.788993
8,2015,Scotland,Aberdeen City,230,4730,5046,98.3,190,4.9,5.84,94.74,23813,277.3597938
9,2015,Scotland,Aberdeen City,455,3517,3943,101.8,662,11.9,5.13,85.12,28091,587.5200276
10,2015,Scotland,Aberdeen City,145,4483,4608,103.9,662,1.6,6.21,95.3,21328,379.2285442
11,2015,Scotland,Aberdeen City,385,5548,6022,96.7,370,10.4,5.83,90.65,29183,568.2664683
12,2015,Scotland,Aberdeen City,55,3577,3678,96.7,100,1.6,6.26,98.68,15720,585.6897415
13,2015,Scotland,Aberdeen City,155,6146,6352,93.5,364,5,6.33,97.92,26923,327.6054213
14,2015,Scotland,Aberdeen City,310,3881,4136,87.5,889,11.2,5.44,84.21,25449,3858.704826
15,2015,Scotland,Aberdeen City,250,2487,2785,69.7,758,28.6,5.72,65.38,33684,4547.69474
16,2015,Scotland,Aberdeen City,190,4843,5070,80.5,298,5.5,5.29,83.87,20802,419.3563422
17,2015,Scotland,Aberdeen City,200,4841,5074,87.8,448,2.8,5.91,89.62,25989,306.1655024
18,2015,Scotland,Aberdeen City,490,3646,4076,106.9,663,16.5,5,84.14,28402,531.5567814
19,2015,Scotland,Aberdeen City,335,4057,4536,86.6,427,12.6,5.14,94.44,27309,399.5785237
20,2015,Scotland,Aberdeen City,100,3935,3989,95.8,382,4.7,5.66,93.08,13364,136.0099035
21,2015,Scotland,Aberdeen City,170,3431,3595,109.6,497,5.8,5.44,89.66,30952,416.5159379
22,2015,Scotland,Aberdeen City,805,4894,5774,89.3,723,22.3,4.99,85,38854,1045.948766
23,2015,Scotland,Aberdeen City,1010,3664,4778,92.5,661,24.9,4.88,81.89,33049,1162.045082
24,2015,Scotland,Aberdeen City,325,3103,3491,69.8,712,16,5.22,78.95,34161,850.9072573
25,2015,Scotland,Aberdeen City,240,4058,4387,61.8,633,10,4.69,61.54,12371,751.2621123
26,2015,Scotland,Aberdeen City,630,6590,7391,83,1094,19.5,5.44,79.76,36735,1047.147516
27,2015,Scotland,Aberdeen City,340,3433,3739,86.5,749,13.8,5.34,86.67,29080,1381.654049
28,2015,Scotland,Aberdeen City,355,5208,5780,85.8,315,22.9,4.85,81.72,28994,606.5639943
29,2015,Scotland,Aberdeen City,530,4090,4695,83.1,1124,20.8,5.03,66.67,33880,867.5557171
30,2015,Scotland,Aberdeen City,415,4497,4790,75.7,553,21.8,4.66,88.89,28186,551.6521109
31,2015,Scotland,Aberdeen City,900,4480,5609,76.4,732,22.5,4.93,80.7,32975,923.2341327
32,2015,Scotland,Aberdeen City,770,3302,4093,87,859,25.1,4.77,83.21,33270,1220.599944
33,2015,Scotland,Aberdeen City,445,5789,6308,92.2,502,9.1,5.48,85.37,24474,438.6633514
34,2015,Scotland,Aberdeen City,685,4752,5512,100.6,490,14.2,5.22,87.35,34929,579.1568263
35,2015,Scotland,Aberdeen City,770,4059,4829,107.5,521,19.2,4.98,79.7,28944,770.351204
36,2015,Scotland,Aberdeen City,585,4389,4973,99.8,634,15.5,5.07,85.23,26691,423.5355476
37,2015,Scotland,Aberdeen City,540,3088,3583,101.7,476,15.2,4.65,84.32,33982,636.8398358
38,2015,Scotland,Aberdeen City,885,4662,5481,100.2,563,18.9,4.67,83,36351,928.0489317
39,2015,Scotland,Aberdeen City,920,4381,5156,90.6,750,18.8,4.71,82.81,32602,977.7882212
40,2015,Scotland,Aberdeen City,125,5523,5590,87.2,271,2.7,6,95.83,16420,165.9674003
41,2015,Scotland,Aberdeen City,250,3316,3546,87.2,467,7.7,5.22,92.22,25225,660.0427453
42,2015,Scotland,Aberdeen City,335,4570,5007,87.2,346,8.5,5.2,89.1,23077,460.1652892
43,2015,Scotland,Aberdeen City,300,5106,5329,101.9,417,6.1,5.42,87,21314,377.2513581
44,2015,Scotland,Aberdeen City,85,3993,4013,88.6,422,5.3,5.69,97.22,20676,176.6238812
45,2015,Scotland,Aberdeen City,125,4226,4448,105.8,402,4.9,5.78,98.29,21875,96.72451273
46,2015,Scotland,Aberdeen City,145,4869,4993,109,313,4.7,5.57,93.12,19546,126.0349782
47,2015,Scotland,Aberdeen City,235,3385,3608,109.4,483,10.6,5.49,89.38,20452,305.2762851
48,2015,Scotland,Aberdeen City,95,2708,2739,98.8,358,2.3,5.86,93.83,16505,411.2746743
49,2015,Scotland,Aberdeen City,80,2864,3052,95.7,333,3.7,5.71,95.41,21413,157.1319307
50,2015,Scotland,Aberdeenshire,150,3014,3118,100.5,285,9.1,5.42,95.76,14286,223.2136142
51,2015,Scotland,Aberdeenshire,225,4864,5248,83.7,288,7,5.88,96.83,15319,162.8939715
52,2015,Scotland,Aberdeenshire,230,4102,4285,74.7,357,6.8,5.56,94.74,19053,213.0830932
53,2015,Scotland,Aberdeenshire,255,3715,3965,96.3,224,10.3,5.59,92.05,13324,156.5932617
54,2015,Scotland,Aberdeenshire,300,5403,5731,82.4,359,8.4,5.61,94.19,20930,187.3828828
55,2015,Scotland,Aberdeenshire,65,3835,4094,77.4,360,3.1,5.89,99.35,14170,183.0290464
56,2015,Scotland,Aberdeenshire,320,5196,5438,93.1,363,6.8,5.77,90.2,25670,232.4460427
57,2015,Scotland,Aberdeenshire,230,5686,5855,86.6,405,4.5,5.92,94.67,17077,244.5126903
58,2015,Scotland,Aberdeenshire,65,2977,3036,98.7,299,4.1,5.69,96.62,14227,43.6856042
59,2015,Scotland,Aberdeenshire,100,4338,4414,106.9,349,4.5,5.78,96.52,16812,137.7065799
60,2015,Scotland,Aberdeenshire,205,5240,5807,60.9,351,5.1,5.43,94.77,21754,164.4995652
61,2015,Scotland,Aberdeenshire,110,4979,5068,85.6,297,3.2,5.8,94.35,16290,94.21951538
62,2015,Scotland,Aberdeenshire,135,4029,4096,72,138,6.6,6.05,96.67,20083,139.5658409
63,2015,Scotland,Aberdeenshire,90,3056,3152,102,222,4.1,6.19,99.26,19287,234.3649315
64,2015,Scotland,Aberdeenshire,120,4165,4295,87.8,233,5.4,6.03,97.77,18763,89.06445826
65,2015,Scotland,Aberdeenshire,195,4022,4187,91.8,288,10.5,5.6,97.44,15880,109.8048985
66,2015,Scotland,Aberdeenshire,235,5753,6098,81.8,260,6.1,5.81,98.24,14589,119.4025429
67,2015,Scotland,Aberdeenshire,265,3361,3622,102.4,383,12.7,5.53,92.06,19822,291.8585186
68,2015,Scotland,Aberdeenshire,265,5368,5599,102.1,352,7.1,5.5,94.52,20108,129.5208765
69,2015,Scotland,Aberdeenshire,410,5023,5437,96.3,473,8.4,5.08,92.39,26527,471.2829228
70,2015,Scotland,Aberdeenshire,90,5459,5755,49.7,200,3.4,5.73,93.27,11948,82.96755421
71,2015,Scotland,Aberdeenshire,170,5729,5892,53.2,237,4.4,5.7,92.59,19048,202.2924298
72,2015,Scotland,Aberdeenshire,95,3348,3426,50.9,271,4.7,5.59,97.67,16456,121.8712667
73,2015,Scotland,Aberdeenshire,90,4521,4798,80,240,2.9,5.95,96.67,16520,59.80538181
74,2015,Scotland,Aberdeenshire,100,3955,4018,115.6,349,4.9,5.79,98.15,15439,126.8288391
75,2015,Scotland,Aberdeenshire,95,3942,3969,56,337,5.5,5.72,93.71,13333,102.9165521
76,2015,Scotland,Aberdeenshire,85,4291,4349,78.6,204,3.1,5.58,89,15978,156.6223466
77,2015,Scotland,Aberdeenshire,200,5162,5305,75.3,283,4.4,5.69,88.3,19021,125.3203261
78,2015,Scotland,Aberdeenshire,210,5661,5998,69.6,321,4.8,5.6,90.98,19750,203.6895304
79,2015,Scotland,Aberdeenshire,225,4101,4207,110.8,338,7.4,5.82,94.65,23271,168.4172602
80,2015,Scotland,Aberdeenshire,165,4322,4478,95.5,346,6.8,5.66,93.88,13233,167.8844699
81,2015,Scotland,Aberdeenshire,195,5728,6034,87.8,271,3.8,5.78,95.88,17467,73.64751467
82,2015,Scotland,Aberdeenshire,175,4940,5105,68.8,218,4.8,5.64,92.64,18286,155.946208
83,2015,Scotland,Aberdeenshire,180,3798,3963,85.8,398,5.1,5.47,91.4,20451,50.50535004
84,2015,Scotland,Aberdeenshire,195,4879,5113,70.8,273,5.6,5.47,95.54,18404,115.0430623
85,2015,Scotland,Aberdeenshire,210,4359,4620,83.9,251,11.3,5.46,93.63,22312,143.2584869
86,2015,Scotland,Aberdeenshire,480,3931,4425,103.8,462,17.8,5.24,91.26,23239,334.892607
87,2015,Scotland,Aberdeenshire,145,2755,2878,81.4,190,11.2,5.31,94,14387,39.61908952
88,2015,Scotland,Aberdeenshire,365,4310,4643,96.5,492,14.3,5.4,92.11,25416,222.1890431
89,2015,Scotland,Aberdeenshire,270,2942,3205,101.5,485,10,5.22,96.27,20797,213.6172529
