"","year","la","total.pop","crime","CP","Attain","PD","EA","Depop","EM"
"1",2009,"Aberdeen City",226984.754504,-0.338178662980178,-0.385688602641128,0.374458020033188,0.257530665393027,-0.30856037331478,0.0505196115941651,-0.316848977780129
"2",2009,"Aberdeenshire",286973.375024,-0.24247961858989,-0.315776364624107,0.253078171679636,0.127332325536774,-0.219908991565493,-0.16324135894866,-0.298589979309064
"3",2009,"Angus",124726.421531,-0.292765172203206,-0.275128715874845,0.290494387962273,0.13064065058602,-0.0717969020011724,-0.0717481130251585,-0.276543377008673
"4",2009,"Argyll and Bute",95155.921869,-0.17281744662372,-0.0944067236995041,0.189839943128367,0.0428830200471282,-0.157904801505433,-0.000658552898683773,-0.211220856542123
"5",2009,"Clackmannanshire",61215.61948,-0.207957882246308,-0.223699373469856,0.196378729927052,0.23789622089674,-0.0154640291920614,-0.0785699101752249,-0.207989092324515
"6",2009,"Dumfries and Galloway",157522.884827,-0.182371040799591,-0.1492587761065,0.173055634107751,0.135844502001165,-0.117581439154486,-0.0326150301688379,-0.187821475009159
"7",2009,"Dundee City",155431.196751,-0.244781428487249,-0.258580043315874,0.275646084708093,0.247604048900666,-0.231245288437867,0.005254409294837,-0.25687144461722
"8",2009,"East Ayrshire",130870.357487,-0.215930618959856,-0.253369293175357,0.223425725663787,0.186348070536745,-0.236808381154502,-0.0491071322007688,-0.26977353276016
"9",2009,"East Dunbartonshire",108266.643652,-0.339307308752023,-0.343010778533275,0.343707674743106,0.258630477278516,-0.344778837792579,0.0213411951061691,-0.363868009199202
"10",2009,"East Lothian",109823.743721,-0.179691945257964,-0.170783712461875,0.200856422952928,0.187746854519199,-0.167663305760899,0.00572958405820678,-0.186725807739399
"11",2009,"East Renfrewshire",91699.634442,-0.355746721384817,-0.367083669895645,0.368952846029642,0.305533300482479,-0.281398184700115,-0.0359492470495093,-0.364028204832295
"12",2009,"Edinburgh, City of",527536.353253,-0.408359120014719,-0.406317054045815,0.431857386586486,0.34735801736722,-0.324619894735477,0.127553223229413,-0.427345224704585
"13",2009,"Eilean Siar",26333.589699,0.0222125860624551,-0.0467961772458567,0.0357696807476882,-0.0136902065787581,0.0334745035972599,-0.0220077444832896,0.0276730394879676
"14",2009,"Falkirk",177079.917579,-0.226382249917053,-0.261324312575569,0.199829963179395,0.199978242367278,-0.169369132410443,-0.114751224623314,-0.209762300753075
"15",2009,"Fife",464590.041673,-0.323259756006465,-0.350711423333216,0.297735502819059,0.280460422147343,-0.245455605191225,-0.175472760128379,-0.339902945474865
"16",2009,"Glasgow City",652564.775334,-0.225398985972902,-0.197351901278857,0.230176990919055,0.168563788663796,-0.226708286201188,-0.0437523050687929,-0.246164604128303
"17",2009,"Highland",242535.132423,-0.200507546769895,-0.226344896410659,0.194380908759985,0.133333451988161,-0.158437757192797,-0.0704467438675955,-0.229382438661098
"18",2009,"Inverclyde",86411.983538,-0.333965820613184,-0.358703330191231,0.326029812725547,0.309461377918875,-0.309464289614922,-0.280439474928947,-0.361110340811207
"19",2009,"Midlothian",83563.82858,-0.239846055161154,-0.244083501308773,0.236100582389677,0.216667657010412,-0.138245862860862,-0.09572515128486,-0.250742811361389
"20",2009,"Moray",99938.933122,-0.129200014539012,-0.119627156373567,0.0796486348440961,0.0489624229281684,-0.0903443050790589,-0.0127794341949841,-0.0951884703610633
"21",2009,"North Ayrshire",144259.141003,-0.280547725810438,-0.321248191303608,0.253281304897961,0.212906670668627,-0.220330536564576,-0.116586231287966,-0.330011136622954
"22",2009,"North Lanarkshire",364804.313114,-0.177860068588654,-0.202190393519547,0.194017690256558,0.172888922199736,-0.122050552520392,-0.0203175785878607,-0.188564232939001
"23",2009,"Orkney Islands",21721.610349,0.00562230359422089,-0.0935246933774179,-0.0244265645219024,-0.0466254546767564,0.0114579945844997,-0.140429954583906,-0.0291458633757584
"24",2009,"Perth and Kinross",154646.609741,-0.236672756087968,-0.259447603574795,0.225284421787439,0.117657290571332,-0.195722157014597,-0.0454662207013907,-0.257558734139071
"25",2009,"Renfrewshire",183424.947693,-0.299552783965904,-0.349687125881905,0.325354984260226,0.270051121114966,-0.3273245383955,-0.0363243922196936,-0.354988810783462
"26",2009,"Scottish Borders",126748.855025,-0.193455306773659,-0.187211161390676,0.177701141783974,0.145825220212913,-0.0722280606197714,-0.0964134441590634,-0.158783573438518
"27",2009,"Shetland Islands",21925.501237,-0.0762533926399889,-0.0818487208614735,0.105634074505624,0.0352374823398298,-0.0489019047833783,-0.0724830941548491,-0.0154446457082866
"28",2009,"South Ayrshire",118610.144404,-0.208655492332027,-0.26736292499569,0.241284889136626,0.22733431446942,-0.217567237970481,0.00584841853145157,-0.263728432222265
"29",2009,"South Lanarkshire",359314.898682,-0.238844998245924,-0.264097539872978,0.241170328360454,0.221893462292101,-0.178611291546954,-0.0667516312785352,-0.265134946372896
"30",2009,"Stirling",101715.049242,-0.307709515004517,-0.331324142223294,0.35106781400591,0.316028967438099,-0.312581898856108,-0.083250375523173,-0.318705348655853
"31",2009,"West Dunbartonshire",94476.696286,-0.200902250738452,-0.201907318130131,0.203358245170437,0.185750182359517,-0.111689293541278,-0.00725312599436734,-0.211675314054385
"32",2009,"West Lothian",205654.660496,-0.204397527244399,-0.244836066473137,0.234742903394102,0.225777334734294,-0.179248357763251,-0.0427395703862476,-0.225933690162551
"33",2010,"Aberdeen City",236643.516003,-0.31064156415378,-0.353555741504747,0.355399782502772,0.242552583658892,-0.288222002050164,0.0487201084488902,-0.297666353714048
