"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","CPPScore","TypeScore","CombinedCPPScore","CombinedTypeScore","FilterRef","CPPScoreRank","TypeScoreRank"
"58","S02001795","Kirkcaldy Gallatown and Sinclairtown","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",28.0865251575023,"Child Poverty (%)","No",-1.30030187041264,-0.105410465521033,-15.0257281774011,-8.272047300113,"Child Poverty",2,8
"59","S02001796","Dysart","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",28.397901832563,"Child Poverty (%)","No",-1.33945468109453,-0.421319141658676,-5.30648414590369,0.798508951385343,"Child Poverty",21,61
"60","S02001797","Wemyss","Fife",59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%","Child Poverty","Raw data","2023/24",16.9219389166563,"Child Poverty (%)","No",0.103544231240076,-0.0108844683363126,-2.7013814446105,-4.01554116731402,"Child Poverty",34,24
"61","S02001798","Thornton and Kinglassie","Fife",57,"Accessible Rural, Dep -Child, HH Inc 0-90%","Child Poverty","Raw data","2023/24",19.6472235001851,"Child Poverty (%)","No",-0.239135744170391,-1.10655482279283,-3.00782628494723,-8.98970616368818,"Child Poverty",29,6
"62","S02001799","Leslie and Newcastle","Fife",40,"Other Urban, Dep - Average, HH Inc 30-40%","Child Poverty","Raw data","2023/24",19.3038865448641,"Child Poverty (%)","No",-0.195964216280059,0.122213703005541,-0.128776746288005,1.62281490083239,"Child Poverty",51,69
"63","S02001800","Glenrothes Macedonia and Tanshall","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",26.3870563656769,"Child Poverty (%)","No",-1.08660898589211,0.196162594367016,-7.51218803766362,-0.614035043543241,"Child Poverty",13,46
"64","S02001801","Glenrothes South Parks","Fife",24,"Other Urban, Dep - OP, HH Inc 30-50%","Child Poverty","Raw data","2023/24",18.5297139906458,"Child Poverty (%)","No",-0.0986189946300422,-0.71848088276291,-0.849738879063409,-5.31323764163442,"Child Poverty",43,20
"65","S02001802","Glenrothes Caskieberran and Rimbleton","Fife",39,"Other Urban, Dep - Average, HH Inc 20-30%","Child Poverty","Raw data","2023/24",26.4350587682294,"Child Poverty (%)","No",-1.09264485540304,-0.527123739052673,-0.33736433793517,4.16862732818382,"Child Poverty",49,85
"66","S02001803","Glenrothes Auchmuty","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",30.3060788332123,"Child Poverty (%)","No",-1.5793907419424,-0.499273298889497,-11.0755356744879,-3.01912599903314,"Child Poverty",4,29
"67","S02001804","Glenrothes Stenton and Finglassie","Fife",36,"Other Urban, Dep - Adult, HH Inc 40-70%","Child Poverty","Raw data","2023/24",20.45140877164,"Child Poverty (%)","No",-0.340254794530554,-1.14293415142656,2.94383825044309,1.15341929951419,"Child Poverty",69,64
"68","S02001805","Glenrothes Pitteuchar","Fife",33,"Other Urban, Dep -Student, HH Inc 30-70%","Child Poverty","Raw data","2023/24",15.6998484595313,"Child Poverty (%)","No",0.257211092428825,0.238693611728673,-0.827604445584495,-2.3216168819038,"Child Poverty",44,31
"69","S02001806","Glenrothes Woodside","Fife",39,"Other Urban, Dep - Average, HH Inc 20-30%","Child Poverty","Raw data","2023/24",21.3619832844305,"Child Poverty (%)","No",-0.454751333181358,0.546643502528358,-4.83853367238066,-2.18666014012551,"Child Poverty",23,32
"70","S02001807","Glenrothes Balgeddie and Town Park","Fife",26,"Other Urban, Dep - OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",16.601757252682,"Child Poverty (%)","No",0.143804189925024,-2.32242504197134,5.45918643511791,-5.15902427537792,"Child Poverty",86,21
"71","S02001808","Glenrothes Collydean","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",28.2521739686894,"Child Poverty (%)","No",-1.32113071554956,-0.134805073469588,-7.32730358946768,-0.236348831762013,"Child Poverty",14,48
"72","S02001809","Glenrothes Cadham and Pitcoudie","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",28.9032364786796,"Child Poverty (%)","No",-1.4029959586374,-0.517262301442641,-6.38021374202829,-1.24413150185217,"Child Poverty",18,41
