"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","CPPScore","TypeScore","CombinedCPPScore","CombinedTypeScore","FilterRef","CPPScoreRank","TypeScoreRank"
"95","S02001832","Anstruther","Fife",46,"Accessible Small Town, Dep - OP, HH Inc 50-100%","Child Poverty","Raw data","2023/24",14.5157811221223,"Child Poverty (%)","No",0.40609688898746,-1.50724124758949,2.60077502941747,-6.7520559878465,"Child Poverty",65,13
"96","S02001833","Crail and Boarhills","Fife",54,"Accessible Rural, Dep -OP, HH Inc 0-40%","Child Poverty","Raw data","2023/24",14.6050596694004,"Child Poverty (%)","No",0.394870916268557,0.538292088016724,6.00537106556994,5.02316204885104,"Child Poverty",88,91
"97","S02001834","St Andrews South East","Fife",32,"Other Urban, Dep -Student, HH Inc 0-30%","Child Poverty","Raw data","2023/24",21.8177765118359,"Child Poverty (%)","No",-0.512063223801345,0.447871504754892,4.21911375755236,9.7278052748733,"Child Poverty",78,103
"98","S02001835","St Andrews Central","Fife",33,"Other Urban, Dep -Student, HH Inc 30-70%","Child Poverty","Raw data","2023/24",8.88187505017764,"Child Poverty (%)","No",1.11450980331842,1.3406234965547,4.90508995425796,5.70123452758752,"Child Poverty",83,95
"99","S02001836","St Andrews South West","Fife",25,"Other Urban, Dep - OP, HH Inc 50-70%","Child Poverty","Raw data","2023/24",3.92002315392691,"Child Poverty (%)","No",1.73841796178161,1.58017946170311,10.5927900172988,9.23275372423603,"Child Poverty",104,102
"100","S02001837","St Andrews North and Strathkinness","Fife",33,"Other Urban, Dep -Student, HH Inc 30-70%","Child Poverty","Raw data","2023/24",2.82918417383954,"Child Poverty (%)","No",1.87558113260508,2.31886740567595,7.96186028624284,8.55980676137357,"Child Poverty",94,101
"101","S02001838","Leuchars and Guardbridge","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",22.1721600694675,"Child Poverty (%)","No",-0.556623762377402,-1.001624718075,1.62853483416073,0.648210777034884,"Child Poverty",60,60
"102","S02001839","Balmullo and Gauldry","Fife",55,"Accessible Rural, Dep -OP, HH Inc 40-70%","Child Poverty","Raw data","2023/24",11.3243904186247,"Child Poverty (%)","No",0.807385508315311,1.09084799314167,4.96143986551936,1.53823689435246,"Child Poverty",84,67
"103","S02001840","Tayport","Fife",48,"Accessible Small Town, Dep - Student & Adult, HH Inc 0-60%","Child Poverty","Raw data","2023/24",13.6769776918419,"Child Poverty (%)","No",0.511568860832144,1.07596577932792,2.80192078814808,4.27384914141542,"Child Poverty",68,86
"104","S02001841","Newport and Wormit","Fife",46,"Accessible Small Town, Dep - OP, HH Inc 50-100%","Child Poverty","Raw data","2023/24",3.16930837337411,"Child Poverty (%)","No",1.8328135798007,1.304621227022,9.02299249286494,5.93044001675156,"Child Poverty",98,96
