InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,Change,OverallZScore,CPPChangeScore,Strategic Area
S02001760,Rosyth East,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,31.123388581952117,Child Poverty (%),No,-0.9016668832009673,-0.18732631812365846,-0.4483670129145839,South West Fife
S02001761,Rosyth Central,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,29.376257545271628,Child Poverty (%),No,-0.7643206258248398,0.03244905964184351,-0.17020624836286696,South West Fife
S02001762,Rosyth South,Fife,34,"Other Urban, Dep -Student, HH Inc 70-100%",Child Poverty,Raw data,2021/22,26.573426573426573,Child Poverty (%),No,-0.9041784036547096,-0.19134514154871474,-0.45345347440939604,South West Fife
S02001763,North Queensferry and Inverkeithing West,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Child Poverty,Raw data,2021/22,15.254237288135592,Child Poverty (%),No,-0.14870638682941917,1.0175276086883274,1.0765676401963509,South West Fife
S02001764,Inverkeithing East,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,34.74903474903475,Child Poverty (%),No,-0.3217508639384199,0.740629526036425,0.7261089893845227,South West Fife
S02001765,Dalgety Bay West and Hillend,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Child Poverty,Raw data,2021/22,5.531914893617021,Child Poverty (%),No,0.17769528590425554,1.5398210610092462,1.7376132381839309,South West Fife
S02001766,Dalgety Bay Central,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Child Poverty,Raw data,2021/22,9.87202925045704,Child Poverty (%),No,-1.2659798953734192,-0.7702838111394468,-1.1861926219845977,South West Fife
S02001767,Dalgety Bay East,Fife,45,"Accessible Small Town, Dep - OP, HH Inc 0-50%",Child Poverty,Raw data,2021/22,7.458563535911603,Child Poverty (%),No,-0.0983214701513877,1.098151313390181,1.1786097869048333,South West Fife
S02001768,Crossgates and Halbeath,Fife,43,"Other Urban, Dep - Average, HH Inc 60-80%",Child Poverty,Raw data,2021/22,17.88756388415673,Child Poverty (%),No,-0.44860845812307537,0.537637641022736,0.32973406956640755,Dunfermline
S02001769,Hill of Beath and Kingseat,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Child Poverty,Raw data,2021/22,32.22390317700454,Child Poverty (%),No,-0.5835256663931467,0.3217491196965216,0.42029024923163655,Cowdenbeath
S02001770,Cowdenbeath South,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,37.87234042553192,Child Poverty (%),No,-1.2821973640912376,-0.7962342839222477,-1.7336300868722554,Cowdenbeath
S02001771,Cowdenbeath North,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,18.302658486707564,Child Poverty (%),No,-0.5123678863482186,0.4356126372694932,0.6396610782143333,Cowdenbeath
S02001772,Kelty West,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2021/22,33.50253807106599,Child Poverty (%),No,-0.9864655812801788,-0.3230174265704237,-0.8219247707306945,Cowdenbeath
S02001773,Kelty East,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Child Poverty,Raw data,2021/22,21.34502923976608,Child Poverty (%),No,-0.3818223372155747,0.6445058239084364,1.0421172160413972,Cowdenbeath
S02001774,Lochore and Crosshill,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Child Poverty,Raw data,2021/22,38.16631130063966,Child Poverty (%),No,-0.5906676628805889,0.3103208142878857,0.398272337921693,Cowdenbeath
S02001775,Ballingry,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2021/22,44.935805991440795,Child Poverty (%),No,-1.1566999625534953,-0.5954189187389503,-1.3467367774811174,Cowdenbeath
S02001776,Cardenden,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Child Poverty,Raw data,2021/22,27.84911717495987,Child Poverty (%),No,-0.34807163755618187,0.6985121937156584,1.14616654077233,Cowdenbeath
S02001777,Lochgelly East,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,24.297924297924297,Child Poverty (%),No,-0.5469273822289451,0.38031206768955983,0.5331183325610498,Cowdenbeath
S02001778,Lochgelly West and Lumphinnans,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,41.50579150579151,Child Poverty (%),No,-0.8098155592912248,-0.040349911222061774,-0.27733411965837285,Cowdenbeath
S02001779,Aberdour and Auchtertool,Fife,60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%",Child Poverty,Raw data,2021/22,13.134328358208954,Child Poverty (%),No,-0.5006966716417911,0.4542883964062196,0.3636986577525383,South West Fife
