InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,CPPScore,TypeScore,Strategic Area
S02001793,Kirkcaldy Hayfield and Smeaton,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Crime Rate,Raw data,2021/22,3642.7939876215737,"Crime Rate, per 10,000",No,-1.5018279899430265,-2.617055044184039,Kirkcaldy
S02001794,Kirkcaldy Pathhead,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Crime Rate,Raw data,2021/22,1513.3369624387587,"Crime Rate, per 10,000",No,0.2178907614475446,0.7128169652436818,Kirkcaldy
S02001795,Kirkcaldy Gallatown and Sinclairtown,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,3982.569154982947,"Crime Rate, per 10,000",No,-1.7762255099014579,-2.6083638884949583,Kirkcaldy
S02001796,Dysart,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1599.1379310344828,"Crime Rate, per 10,000",No,0.14859913788502044,0.4491425865460365,Kirkcaldy
S02001797,Wemyss,Fife,59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%",Crime Rate,Raw data,2021/22,1536.1744301288404,"Crime Rate, per 10,000",No,0.2664404621842881,-1.3138151913047782,Levenmouth
S02001798,Thornton and Kinglassie,Fife,57,"Accessible Rural, Dep -Child, HH Inc 0-90%",Crime Rate,Raw data,2021/22,1624.4805440120892,"Crime Rate, per 10,000",No,-0.3403039543287337,-2.320827769041113,Glenrothes
S02001799,Leslie and Newcastle,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Crime Rate,Raw data,2021/22,1153.5303776683086,"Crime Rate, per 10,000",No,0.22270503629876084,0.39086585740207297,Glenrothes
S02001800,Glenrothes Macedonia and Tanshall,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1660.334346504559,"Crime Rate, per 10,000",No,-0.38316626672190485,0.08377364407675479,Glenrothes
S02001801,Glenrothes South Parks,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",Crime Rate,Raw data,2021/22,1364.0098603122433,"Crime Rate, per 10,000",No,-0.028917851938326796,-0.3489425682812013,Glenrothes
S02001802,Glenrothes Caskieberran and Rimbleton,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Crime Rate,Raw data,2021/22,915.7509157509156,"Crime Rate, per 10,000",No,0.5069643580129342,0.7000187527547077,Glenrothes
S02001803,Glenrothes Auchmuty,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,4058.1854043392505,"Crime Rate, per 10,000",No,-3.24973644807971,-2.6960248529336885,Glenrothes
S02001804,Glenrothes Stenton and Finglassie,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Crime Rate,Raw data,2021/22,1140.307387208726,"Crime Rate, per 10,000",No,0.23851278634060333,-0.09248061985030946,Glenrothes
S02001805,Glenrothes Pitteuchar,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Crime Rate,Raw data,2021/22,1098.1697171381031,"Crime Rate, per 10,000",No,0.2888873031988009,-0.3864709159698522,Glenrothes
S02001806,Glenrothes Woodside,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Crime Rate,Raw data,2021/22,901.5345268542198,"Crime Rate, per 10,000",No,0.5239596907149805,0.7136443488834657,Glenrothes
S02001807,Glenrothes Balgeddie and Town Park,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Crime Rate,Raw data,2021/22,647.6449275362319,"Crime Rate, per 10,000",No,0.8274782734826011,-0.08797515786419394,Glenrothes
S02001808,Glenrothes Collydean,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1184.407796101949,"Crime Rate, per 10,000",No,0.18579186495311847,0.6355092930337081,Glenrothes
S02001809,Glenrothes Cadham and Pitcoudie,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1217.741935483871,"Crime Rate, per 10,000",No,0.14594174596377227,0.7156831244001678,Glenrothes
S02001810,Glenrothes Balfarg Pitcairn and Coul,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",Crime Rate,Raw data,2021/22,666.6666666666666,"Crime Rate, per 10,000",No,0.8047382663371571,1.363590264725873,Glenrothes
S02001811,Markinch and Star,Fife,43,"Other Urban, Dep - Average, HH Inc 60-80%",Crime Rate,Raw data,2021/22,1124.7216035634744,"Crime Rate, per 10,000",No,0.2571451957659481,-0.4911898690310799,Glenrothes
S02001812,Windygates and Coaltown,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Crime Rate,Raw data,2021/22,535.6265356265357,"Crime Rate, per 10,000",No,1.0772662469366776,0.9072746425779713,Levenmouth
S02001813,"Buckhaven, Denbeath and Muiredge",Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Crime Rate,Raw data,2021/22,2058.823529411765,"Crime Rate, per 10,000",No,-0.15710484574622666,-0.3955510078056941,Levenmouth
S02001814,Methil Methilhill,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1333.3333333333333,"Crime Rate, per 10,000",No,0.4308191914714683,0.4628617955131116,Levenmouth
S02001815,Methil West,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Crime Rate,Raw data,2021/22,3579.2349726775956,"Crime Rate, per 10,000",No,-1.3892185790380724,-2.140783656561033,Levenmouth
S02001816,Methil East,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Crime Rate,Raw data,2021/22,3241.9659735349715,"Crime Rate, per 10,000",No,-1.115901926826736,-2.1360496165003524,Levenmouth
S02001817,Leven East,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Crime Rate,Raw data,2021/22,4140.625,"Crime Rate, per 10,000",No,-1.8441588292319682,-1.4553489877552155,Levenmouth
S02001818,Leven West,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Crime Rate,Raw data,2021/22,1293.027360988526,"Crime Rate, per 10,000",No,0.46348241712639093,0.20273414589059155,Levenmouth
S02001819,Leven North,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Crime Rate,Raw data,2021/22,784.4429795649307,"Crime Rate, per 10,000",No,0.8756299339483808,0.4145924200995016,Levenmouth
S02001820,Largo,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,852.7131782945737,"Crime Rate, per 10,000",No,0.8203050087105948,-0.2719920116261295,Levenmouth
S02001821,Kennoway and Bonnybank,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Crime Rate,Raw data,2021/22,1158.5740626920713,"Crime Rate, per 10,000",No,0.5724409204652022,0.7570328942498575,Levenmouth
S02001822,Kettle and Ladybank,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,1067.5039246467816,"Crime Rate, per 10,000",No,-1.1649666717462133,-1.0006663440038475,North East Fife
S02001823,Falkland and Freuchie,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,1290.1023890784984,"Crime Rate, per 10,000",No,-1.9209804611812136,-1.7558282409326496,North East Fife
S02001824,Auchtermuchty and Gateside,Fife,59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%",Crime Rate,Raw data,2021/22,606.6693451185215,"Crime Rate, per 10,000",No,0.400171244462178,0.6532703003377144,North East Fife
S02001825,Newburgh,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,619.9304750869061,"Crime Rate, per 10,000",No,0.3551323123869576,0.5177197600848593,North East Fife
S02001826,Cupar West and Springfield,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Crime Rate,Raw data,2021/22,1074.8243075651096,"Crime Rate, per 10,000",No,-1.189828974567256,-1.0430336384785002,North East Fife
S02001827,Cupar Central,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Crime Rate,Raw data,2021/22,1393.7282229965158,"Crime Rate, per 10,000",No,-2.272926102781784,-0.560323589623251,North East Fife
S02001828,Cupar East,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Crime Rate,Raw data,2021/22,825.9033317691225,"Crime Rate, per 10,000",No,-0.34441572941385196,-0.38244583590025455,North East Fife
S02001829,Dairsie Ceres and Dunino,Fife,56,"Accessible Rural, Dep -OP, HH Inc 70-100%",Crime Rate,Raw data,2021/22,530.5191100969765,"Crime Rate, per 10,000",No,0.6588011855625316,0.10685900583812434,North East Fife
S02001830,Elie Colinsburgh and Largoward,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,644.9044585987261,"Crime Rate, per 10,000",No,0.27031287771448687,0.4329959017653431,North East Fife
S02001831,St Monans and Pittenweem,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Crime Rate,Raw data,2021/22,668.4672518568534,"Crime Rate, per 10,000",No,0.19028628514014884,0.21391681520674463,North East Fife
S02001832,Anstruther,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Crime Rate,Raw data,2021/22,967.6129548180728,"Crime Rate, per 10,000",No,-0.8257057930903983,-0.811651965451984,North East Fife
S02001833,Crail and Boarhills,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Crime Rate,Raw data,2021/22,760.8695652173914,"Crime Rate, per 10,000",No,-0.12354078125315857,-0.018331338413283577,North East Fife
S02001834,St Andrews South East,Fife,32,"Other Urban, Dep -Student, HH Inc 0-30%",Crime Rate,Raw data,2021/22,568.5856432125089,"Crime Rate, per 10,000",No,0.5295153702951285,1.0071730102774852,North East Fife
S02001835,St Andrews Central,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Crime Rate,Raw data,2021/22,686.2745098039215,"Crime Rate, per 10,000",No,0.1298072850069776,0.6693866001704413,North East Fife
S02001836,St Andrews South West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Crime Rate,Raw data,2021/22,388.86770873046135,"Crime Rate, per 10,000",No,1.1398935102525245,0.5104259526735219,North East Fife
S02001837,St Andrews North and Strathkinness,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Crime Rate,Raw data,2021/22,504.3793415886439,"Crime Rate, per 10,000",No,0.7475799895645707,1.1356590332795846,North East Fife
S02001838,Leuchars and Guardbridge,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Crime Rate,Raw data,2021/22,423.9569313593539,"Crime Rate, per 10,000",No,1.0207195696967262,0.711885262602136,North East Fife
S02001839,Balmullo and Gauldry,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Crime Rate,Raw data,2021/22,618.4150251946862,"Crime Rate, per 10,000",No,0.3602792527247578,0.5228609007402135,North East Fife
S02001840,Tayport,Fife,48,"Accessible Small Town, Dep - Student & Adult, HH Inc 0-60%",Crime Rate,Raw data,2021/22,541.5778251599147,"Crime Rate, per 10,000",No,0.6212423411996207,1.0210622585492894,North East Fife
S02001841,Newport and Wormit,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Crime Rate,Raw data,2021/22,306.7993366500829,"Crime Rate, per 10,000",No,1.418623290027268,1.1898017771141476,North East Fife
S02001738,Kincardine,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Emergency Admissions,Raw data,2021/22,22357.2296476306,"Emergency Admissions, per 100,000",No,-0.25630828921251825,-1.380852342075638,South West Fife
S02001739,Oakley Comrie and Blairhall,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Emergency Admissions,Raw data,2021/22,20851.0638297872,"Emergency Admissions, per 100,000",No,0.08925589899248139,0.04757482775329825,South West Fife
S02001740,Saline and Gowkhall,Fife,60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%",Emergency Admissions,Raw data,2021/22,16554.8098434004,"Emergency Admissions, per 100,000",No,1.0749584714051348,0.8272177718747695,South West Fife
S02001741,Valleyfield Culross and Torryburn,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Emergency Admissions,Raw data,2021/22,20860.4954367666,"Emergency Admissions, per 100,000",No,0.08709197681957494,0.043783992120598504,South West Fife
S02001742,Cairneyhill and Crombie,Fife,61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%",Emergency Admissions,Raw data,2021/22,17432.6465927099,"Emergency Admissions, per 100,000",No,0.8735537256209001,0.19098620755033296,South West Fife
S02001743,Crossford Charlestown and Limekilns,Fife,56,"Accessible Rural, Dep -OP, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,17531.4465408805,"Emergency Admissions, per 100,000",No,0.8508857540869591,-0.06891979929555388,South West Fife
S02001744,Dunfermline Milesmark and Wellwood,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,23707.4401008827,"Emergency Admissions, per 100,000",No,-0.2852641522709053,-1.0446910560697158,Dunfermline
S02001745,Dunfermline Baldridgeburn,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",Emergency Admissions,Raw data,2021/22,35555.5555555555,"Emergency Admissions, per 100,000",No,-2.468761629107937,-1.6415917221235996,Dunfermline
S02001746,Dunfermline Headwell,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Emergency Admissions,Raw data,2021/22,23723.4042553191,"Emergency Admissions, per 100,000",No,-0.2882061974480533,0.4750314066268217,Dunfermline
S02001747,Dunfermline Central,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Emergency Admissions,Raw data,2021/22,21964.5293315143,"Emergency Admissions, per 100,000",No,0.035938091396215836,0.6893442973443096,Dunfermline
S02001748,Dunfermline Brucefield,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Emergency Admissions,Raw data,2021/22,26297.5778546712,"Emergency Admissions, per 100,000",No,-0.762602448955634,0.24284166112611277,Dunfermline
S02001749,Dunfermline Garvock Hill,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,16905.0715214564,"Emergency Admissions, per 100,000",No,0.9683491068601028,0.7048516876305457,Dunfermline
S02001750,Dunfermline Bellyeoman and Townhill,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Emergency Admissions,Raw data,2021/22,24649.2985971943,"Emergency Admissions, per 100,000",No,-0.4588399127453542,-0.4478466509594771,Dunfermline
S02001751,Dunfermline Duloch North and Lynebank,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Emergency Admissions,Raw data,2021/22,18220.3389830508,"Emergency Admissions, per 100,000",No,0.7259575472281811,0.3750898114614242,Dunfermline
S02001752,Dunfermline Touch and Woodmill,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,25330.3964757709,"Emergency Admissions, per 100,000",No,-0.5843599167527871,0.8903954214799897,Dunfermline
S02001753,Dunfermline Abbeyview North,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,24236.9838420107,"Emergency Admissions, per 100,000",No,-0.3828541383789333,1.1256043271916643,Dunfermline
S02001754,Dunfermline Abbeyview South,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Emergency Admissions,Raw data,2021/22,23800,"Emergency Admissions, per 100,000",No,-0.30232208076190464,0.28397311220941357,Dunfermline
S02001755,Dunfermline Duloch South,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Emergency Admissions,Raw data,2021/22,12286.6894197952,"Emergency Admissions, per 100,000",No,1.8194739717912092,1.5041927182433634,Dunfermline
S02001756,Dunfermline Masterton,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Emergency Admissions,Raw data,2021/22,14682.5396825396,"Emergency Admissions, per 100,000",No,1.3779410526029054,1.0482909217114595,Dunfermline
S02001757,Dunfermline Pitcorthie East,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,18193.2245922208,"Emergency Admissions, per 100,000",No,0.7309544772623097,0.35794898811357195,Dunfermline
S02001758,Dunfermline Pitcorthie West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Emergency Admissions,Raw data,2021/22,21004.5662100456,"Emergency Admissions, per 100,000",No,0.21285036589273348,0.4414663248467812,Dunfermline
S02001759,Rosyth North,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Emergency Admissions,Raw data,2021/22,29623.2876712328,"Emergency Admissions, per 100,000",No,-1.92338200223286,-0.5161705538437339,South West Fife
S02001760,Rosyth East,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,22964.1693811074,"Emergency Admissions, per 100,000",No,-0.39556031166817324,1.3810336912839796,South West Fife
S02001761,Rosyth Central,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,29258.2417582417,"Emergency Admissions, per 100,000",No,-1.8396284120996402,-0.11023524121582053,South West Fife
S02001762,Rosyth South,Fife,34,"Other Urban, Dep -Student, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,15482.233502538,"Emergency Admissions, per 100,000",No,1.3210429118611726,1.4734308809276098,South West Fife
S02001763,North Queensferry and Inverkeithing West,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Emergency Admissions,Raw data,2021/22,21461.897356143,"Emergency Admissions, per 100,000",No,-0.05088948816401161,0.8653025820329504,South West Fife
S02001764,Inverkeithing East,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Emergency Admissions,Raw data,2021/22,28091.8727915194,"Emergency Admissions, per 100,000",No,-1.572024845242699,-0.9227795730029085,South West Fife
S02001765,Dalgety Bay West and Hillend,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Emergency Admissions,Raw data,2021/22,19942.1965317919,"Emergency Admissions, per 100,000",No,0.2977800776035195,0.2764123005671119,South West Fife
S02001766,Dalgety Bay Central,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Emergency Admissions,Raw data,2021/22,19547.7753464624,"Emergency Admissions, per 100,000",No,0.3882733254946444,0.41836624996526234,South West Fife
S02001767,Dalgety Bay East,Fife,45,"Accessible Small Town, Dep - OP, HH Inc 0-50%",Emergency Admissions,Raw data,2021/22,18493.1506849315,"Emergency Admissions, per 100,000",No,0.6302390577569267,0.6898452985153652,South West Fife
S02001768,Crossgates and Halbeath,Fife,43,"Other Urban, Dep - Average, HH Inc 60-80%",Emergency Admissions,Raw data,2021/22,23994.9748743718,"Emergency Admissions, per 100,000",No,-0.33825413661214887,-0.32153236068366114,Dunfermline
S02001769,Hill of Beath and Kingseat,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Emergency Admissions,Raw data,2021/22,21172.638436482,"Emergency Admissions, per 100,000",No,0.9779032631067031,0.9239749200641858,Cowdenbeath
S02001770,Cowdenbeath South,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,24478.4422809457,"Emergency Admissions, per 100,000",No,0.31240694359448806,1.0222535572869516,Cowdenbeath
S02001771,Cowdenbeath North,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Emergency Admissions,Raw data,2021/22,29883.843717001,"Emergency Admissions, per 100,000",No,-0.7757625094132209,-1.3942529158624386,Cowdenbeath
S02001772,Kelty West,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Emergency Admissions,Raw data,2021/22,24536.0824742268,"Emergency Admissions, per 100,000",No,0.30080331001871274,-0.6849737430370457,Cowdenbeath
S02001773,Kelty East,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Emergency Admissions,Raw data,2021/22,20200.7528230865,"Emergency Admissions, per 100,000",No,1.1735550104978147,0.9355688152609731,Cowdenbeath
S02001774,Lochore and Crosshill,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Emergency Admissions,Raw data,2021/22,29618.320610687,"Emergency Admissions, per 100,000",No,-0.7223096554898553,-0.9292851890792029,Cowdenbeath
S02001775,Ballingry,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Emergency Admissions,Raw data,2021/22,28992.6289926289,"Emergency Admissions, per 100,000",No,-0.5963507394263222,-1.5708951175848287,Cowdenbeath
S02001776,Cardenden,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Emergency Admissions,Raw data,2021/22,32742.0546932742,"Emergency Admissions, per 100,000",No,-1.3511532387466525,-1.5478427767481162,Cowdenbeath
S02001777,Lochgelly East,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Emergency Admissions,Raw data,2021/22,18314.606741573,"Emergency Admissions, per 100,000",No,1.5532579010403889,1.649650728764593,Cowdenbeath
S02001778,Lochgelly West and Lumphinnans,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,30363.6363636363,"Emergency Admissions, per 100,000",No,-0.8723502851820569,-0.372138907777783,Cowdenbeath
S02001779,Aberdour and Auchtertool,Fife,60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%",Emergency Admissions,Raw data,2021/22,19388.9541715628,"Emergency Admissions, per 100,000",No,0.42471214897858756,0.22547578009199176,South West Fife
S02001780,Burntisland West,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Emergency Admissions,Raw data,2021/22,24375,"Emergency Admissions, per 100,000",No,0.21136374708314615,-0.6529519956159657,Kirkcaldy
S02001781,Burntisland East,Fife,45,"Accessible Small Town, Dep - OP, HH Inc 0-50%",Emergency Admissions,Raw data,2021/22,20266.2721893491,"Emergency Admissions, per 100,000",No,1.039078265391031,0.18333208297036088,Kirkcaldy
S02001782,Kinghorn,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Emergency Admissions,Raw data,2021/22,24199.7439180537,"Emergency Admissions, per 100,000",No,0.2466695668243979,-1.212417921463265,Kirkcaldy
S02001783,Kirkcaldy Linktown & Seafield,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Emergency Admissions,Raw data,2021/22,18993.7106918239,"Emergency Admissions, per 100,000",No,1.2954392791848277,1.4547422552987266,Kirkcaldy
S02001784,Kirkcaldy Central,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,30677.7645659928,"Emergency Admissions, per 100,000",No,-1.0583455101777481,-0.44656601965817494,Kirkcaldy
S02001785,Kirkcaldy Bennochy East,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Emergency Admissions,Raw data,2021/22,30788.1773399014,"Emergency Admissions, per 100,000",No,-1.0805884671664994,-0.7593729446770197,Kirkcaldy
S02001786,Kirkcaldy Bennochy West,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Emergency Admissions,Raw data,2021/22,28482.0031298904,"Emergency Admissions, per 100,000",No,-0.616003329541887,-1.025424126085298,Kirkcaldy
S02001787,Kirkcaldy Raith,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,14200.2989536621,"Emergency Admissions, per 100,000",No,2.261085257879001,1.7784578993022029,Kirkcaldy
S02001788,Kirkcaldy Newliston and Redcraigs,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",Emergency Admissions,Raw data,2021/22,26266.6666666666,"Emergency Admissions, per 100,000",No,-0.16971770585227725,-0.3930048440257305,Kirkcaldy
S02001789,Kirkcaldy Templehall West,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,29122.8070175438,"Emergency Admissions, per 100,000",No,-0.7450950352090067,0.0745929458196864,Kirkcaldy
S02001790,Kirkcaldy Templehall East,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Emergency Admissions,Raw data,2021/22,29885.0574712643,"Emergency Admissions, per 100,000",No,-0.8986524856431055,-0.31150823068416766,Kirkcaldy
S02001791,Kirkcaldy Dunnikier,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Emergency Admissions,Raw data,2021/22,18152.1739130434,"Emergency Admissions, per 100,000",No,1.4649691778753726,0.2098389497239974,Kirkcaldy
S02001792,Kirkcaldy Chapel,Fife,30,"Other Urban, Dep - Child, HH Inc 60-80%",Emergency Admissions,Raw data,2021/22,26315.7894736842,"Emergency Admissions, per 100,000",No,-0.17961363043581954,-0.5163700863223086,Kirkcaldy
S02001793,Kirkcaldy Hayfield and Smeaton,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Emergency Admissions,Raw data,2021/22,28643.216080402,"Emergency Admissions, per 100,000",No,-0.6484801218306812,-0.08181520854543878,Kirkcaldy
S02001794,Kirkcaldy Pathhead,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Emergency Admissions,Raw data,2021/22,23684.2105263157,"Emergency Admissions, per 100,000",No,0.3505251865390682,0.535214234828858,Kirkcaldy
S02001795,Kirkcaldy Gallatown and Sinclairtown,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,30479.8962386511,"Emergency Admissions, per 100,000",No,-1.018484391407733,-0.21733661562322806,Kirkcaldy
S02001796,Dysart,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,27678.5714285714,"Emergency Admissions, per 100,000",No,-0.4541498035120887,0.26403965507979493,Kirkcaldy
S02001797,Wemyss,Fife,59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%",Emergency Admissions,Raw data,2021/22,28820.3753351206,"Emergency Admissions, per 100,000",No,-0.29654221226175526,-0.7140003358084033,Levenmouth
S02001798,Thornton and Kinglassie,Fife,57,"Accessible Rural, Dep -Child, HH Inc 0-90%",Emergency Admissions,Raw data,2021/22,22609.819121447,"Emergency Admissions, per 100,000",No,0.5715869704536993,-0.24252569414956304,Glenrothes
S02001799,Leslie and Newcastle,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Emergency Admissions,Raw data,2021/22,18004.3383947939,"Emergency Admissions, per 100,000",No,1.4570824039399866,1.4358553574395678,Glenrothes
S02001800,Glenrothes Macedonia and Tanshall,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,28129.829984544,"Emergency Admissions, per 100,000",No,-0.4897451036942405,0.2881966980696632,Glenrothes
S02001801,Glenrothes South Parks,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",Emergency Admissions,Raw data,2021/22,35932.2033898305,"Emergency Admissions, per 100,000",No,-1.9899068524454813,-2.031298297911821,Glenrothes
S02001802,Glenrothes Caskieberran and Rimbleton,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Emergency Admissions,Raw data,2021/22,27638.1909547738,"Emergency Admissions, per 100,000",No,-0.395217704357686,-0.14503599636165923,Glenrothes
S02001803,Glenrothes Auchmuty,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Emergency Admissions,Raw data,2021/22,28754.5787545787,"Emergency Admissions, per 100,000",No,-0.6098655027961883,0.15380418237388854,Glenrothes
S02001804,Glenrothes Stenton and Finglassie,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Emergency Admissions,Raw data,2021/22,17355.3719008264,"Emergency Admissions, per 100,000",No,1.581859143003976,1.7168087409057424,Glenrothes
S02001805,Glenrothes Pitteuchar,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Emergency Admissions,Raw data,2021/22,24287.1189773844,"Emergency Admissions, per 100,000",No,0.24909265310170076,0.1776096161928277,Glenrothes
