year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2011,Moray,0.137893696,,,,,0.120978937,-0.031748109,0.094580434
2011,North Ayrshire,0.290974255,,,,,0.194818075,-0.089376919,0.311323572
2011,North Lanarkshire,0.186606417,,,,,0.155086612,-0.034864462,0.178059034
2011,Orkney Islands,0.110367275,,,,,0.039969083,-0.144245059,0.131947378
2011,Perth and Kinross,0.253264562,,,,,0.190008262,-0.018464663,0.27555567
2011,Renfrewshire,0.287322435,,,,,0.236199538,-0.029864084,0.321756453
2011,Scottish Borders,0.228296611,,,,,0.085503911,-0.129075158,0.184591121
2011,Shetland Islands,0.082905336,,,,,-0.014671989,-0.032792387,-0.005172889
2011,South Ayrshire,0.231997017,,,,,0.206789984,0.03203512,0.271808214
2011,South Lanarkshire,0.249640861,,,,,0.133498926,-0.096876063,0.262770838
2011,Stirling,0.307338189,,,,,0.307816465,-0.090703482,0.330070145
2011,West Dunbartonshire,0.187313876,,,,,0.131284171,0.011404023,0.208878518
2011,West Lothian,0.187573268,,,,,0.128411651,-0.032202902,0.20028758
2012,Aberdeen City,0.319008248,,,,,0.298830783,0.061800378,0.289082087
2012,Aberdeenshire,0.268751718,,,,,0.161142242,-0.160101897,0.289224308
2012,Angus,0.311107833,,,,,0.104468613,-0.078464686,0.260000539
2012,Argyll and Bute,0.187563161,,,,,0.199105382,0.00678622,0.240374385
2012,Clackmannanshire,0.201698092,,,,,0.068736478,-0.098397781,0.171597955
2012,Dumfries and Galloway,0.165601837,,,,,0.146978071,-0.023936511,0.180308424
2012,Dundee City,0.229875462,,,,,0.217513508,-0.059516769,0.244315435
2012,East Ayrshire,0.246135779,,,,,0.204331222,-0.086811646,0.254561952
2012,East Dunbartonshire,0.326088981,,,,,0.264868581,0.045330126,0.345001799
2012,East Lothian,0.199821079,,,,,0.1583406,0.010529215,0.155124031
2012,East Renfrewshire,0.368559519,,,,,0.327900062,0.049853276,0.378859138
2012,"Edinburgh, City of",0.369021408,,,,,0.346475703,0.090046001,0.378803386
2012,Eilean Siar,0.037469548,,,,,0.000850545,-0.057005684,0.006116108
2012,Falkirk,0.25334173,,,,,0.202407156,-0.126515073,0.205413448
2012,Fife,0.359999622,,,,,0.332473033,-0.211406473,0.36094808
2012,Glasgow City,0.198090784,,,,,0.208428317,-0.091766064,0.228802601
2012,Highland,0.201256917,,,,,0.177700715,-0.078071456,0.228243007
2012,Inverclyde,0.306644127,,,,,0.312161043,-0.234573154,0.334318291
2012,Midlothian,0.252140585,,,,,0.19012534,-0.120252812,0.247407175
2012,Moray,0.124821346,,,,,0.097381758,-0.030155995,0.102857958
2012,North Ayrshire,0.287477155,,,,,0.194029494,-0.085366343,0.322267918
2012,North Lanarkshire,0.183922209,,,,,0.179278244,-0.034902488,0.182295859
2012,Orkney Islands,0.110367275,,,,,0.148072915,-0.144245059,0.123650683
2012,Perth and Kinross,0.256818135,,,,,0.205507095,-0.002787801,0.267452386
2012,Renfrewshire,0.296059324,,,,,0.284686483,-0.032220538,0.327961572
2012,Scottish Borders,0.22434899,,,,,0.137720005,-0.133275704,0.16259592
2012,Shetland Islands,0.082448329,,,,,0.0755498,-0.032792387,0.050457813
2012,South Ayrshire,0.231422952,,,,,0.209206874,0.016541279,0.265285292
2012,South Lanarkshire,0.242697238,,,,,0.117143049,-0.095525601,0.252703777
2012,Stirling,0.305242829,,,,,0.301190743,-0.082262514,0.321624181
2012,West Dunbartonshire,0.183585831,,,,,0.115708902,0.004620226,0.191843409
2012,West Lothian,0.182321648,,,,,0.146069806,-0.028961226,0.21370253
2013,Aberdeen City,0.317736727,,,0.353484696,,0.33436911,0.042308245,0.291033188
2013,Aberdeenshire,0.285854807,,,0.284002896,,0.20207808,-0.173110485,0.283848066
2013,Angus,0.281616172,,,0.282454967,,0.159849781,-0.016875641,0.269620356
2013,Argyll and Bute,0.189024508,,,0.176181737,,0.191333946,-0.027831614,0.221224676
2013,Clackmannanshire,0.217786339,,,0.233114948,,0.136082567,-0.052913437,0.19605208
2013,Dumfries and Galloway,0.178767502,,,0.200560155,,0.151670655,-0.035401194,0.182013689
2013,Dundee City,0.248578817,,,0.326926602,,0.1926335,-0.050933127,0.23316561
2013,East Ayrshire,0.241107499,,,0.256962385,,0.230260579,-0.10337799,0.255722689
2013,East Dunbartonshire,0.332852507,,,0.334395682,,0.334096054,0.065845157,0.351478775
2013,East Lothian,0.220736359,,,0.231359258,,0.195877228,-0.017255477,0.158207473
2013,East Renfrewshire,0.370494923,,,0.398358851,,0.345481085,0.057843551,0.377129841
2013,"Edinburgh, City of",0.396515963,,,0.446704739,,0.384744817,0.063587814,0.385886279
2013,Eilean Siar,0.067134175,,,-0.001700999,,0.0387382,-0.033243757,0.006672027
2013,Falkirk,0.2483141,,,0.238460756,,0.210078832,-0.098382204,0.203958806
2013,Fife,0.332639368,,,0.33149049,,0.276089948,-0.116453014,0.369165166
2013,Glasgow City,0.207680739,,,0.260490821,,0.223342124,-0.108465068,0.227622673
2013,Highland,0.20827462,,,0.234560165,,0.185821737,-0.094646548,0.227759795
2013,Inverclyde,0.308570012,,,0.324437561,,0.313937606,-0.236209945,0.332752524
2013,Midlothian,0.259025495,,,0.267385095,,0.198454458,-0.11240513,0.227212578
2013,Moray,0.145152364,,,0.139512263,,0.096531497,-0.035668463,0.105977974
2013,North Ayrshire,0.268389953,,,0.271026278,,0.238141331,-0.102097819,0.320102658
2013,North Lanarkshire,0.186065716,,,0.211107384,,0.159193691,-0.042654812,0.187959676
2013,Orkney Islands,0.109287916,,,0.103421936,,0.18694377,-0.160893235,0.16928016
2013,Perth and Kinross,0.245568327,,,0.280987198,,0.208546805,-0.01309807,0.272670805
2013,Renfrewshire,0.296716914,,,0.341253217,,0.280319859,-0.036699651,0.336694028
2013,Scottish Borders,0.205175089,,,0.226829982,,0.148265282,-0.146645421,0.188437431
